111年02月22日 三大法人日交易資訊(含普通股、鉅額、零股、綜合帳戶之投信買賣成交量)依股票代碼排序
代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"00679B","元大美債20年","100,030","8,000","92,030","0","0","0","100,030","8,000","92,030","0","0","0","0","0","0","181,000","604,736","-423,736","181,000","604,736","-423,736","-331,706"
"00687B","國泰20年美債","67,000","4,000","63,000","0","0","0","67,000","4,000","63,000","0","0","0","0","0","0","3,000","84,000","-81,000","3,000","84,000","-81,000","-18,000"
"00694B","富邦美債1-3","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","0","0","0","100,000","101,000","-1,000","100,000","101,000","-1,000","0"
"00695B","富邦美債7-10","25,000","1,000","24,000","0","0","0","25,000","1,000","24,000","0","0","0","0","0","0","102,000","100,000","2,000","102,000","100,000","2,000","26,000"
"00696B","富邦美債20年","76,000","0","76,000","0","0","0","76,000","0","76,000","0","0","0","0","0","0","118,000","192,000","-74,000","118,000","192,000","-74,000","2,000"
"00697B","元大美債7-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105,000","106,012","-1,012","105,000","106,012","-1,012","-1,012"
"00718B","富邦中國政策債","0","10,000","-10,000","0","0","0","0","10,000","-10,000","0","0","0","0","0","0","210,000","178,000","32,000","210,000","178,000","32,000","22,000"
"00719B","元大美債1-3","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","100,000","100,118","-118","100,000","100,118","-118","-1,118"
"00720B","元大投資級公司債","8,000","15,000","-7,000","0","0","0","8,000","15,000","-7,000","0","0","0","0","90,000","-90,000","60,000","33,000","27,000","60,000","123,000","-63,000","-70,000"
"00721B","元大中國債3-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00722B","群益15年IG電信債","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","23,000","-23,000","123,000","102,000","21,000","123,000","125,000","-2,000","-3,000"
"00723B","群益15年IG科技債","0","12,000","-12,000","0","0","0","0","12,000","-12,000","0","0","0","0","0","0","110,000","102,000","8,000","110,000","102,000","8,000","-4,000"
"00724B","群益10年IG金融債","0","0","0","0","0","0","0","0","0","0","0","0","0","43,000","-43,000","110,000","104,000","6,000","110,000","147,000","-37,000","-37,000"
"00725B","國泰投資級公司債","6,000","0","6,000","0","0","0","6,000","0","6,000","0","0","0","0","62,000","-62,000","189,000","139,033","49,967","189,000","201,033","-12,033","-6,033"
"00726B","國泰5Y+新興債","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","113,000","100,071","12,929","113,000","100,071","12,929","11,929"
"00727B","國泰1-5Y高收債","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","144,000","120,000","24,000","144,000","120,000","24,000","23,000"
"00734B","台新JPM新興債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,001,000","988,000","13,000","1,001,000","988,000","13,000","13,000"
"00740B","富邦全球投等債","0","5,000","-5,000","0","0","0","0","5,000","-5,000","0","0","0","0","0","0","100,000","105,000","-5,000","100,000","105,000","-5,000","-10,000"
"00741B","富邦全球高收債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101,000","100,000","1,000","101,000","100,000","1,000","1,000"
"00744B","國泰中國政金債5+","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","-1,000"
"00745B","富邦中政債0-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00746B","富邦A級公司債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","104,000","-4,000","100,000","104,000","-4,000","-4,000"
"00747B","FH中國政策債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","113,000","113,056","-56","113,000","113,056","-56","-56"
"00748B","凱基中國債3-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00749B","凱基新興債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110,000","100,000","10,000","110,000","100,000","10,000","10,000"
"00750B","凱基科技債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00751B","元大AAA至A公司債","29,000","8,000","21,000","0","0","0","29,000","8,000","21,000","0","0","0","0","0","0","97,000","161,000","-64,000","97,000","161,000","-64,000","-43,000"
"00754B","群益AAA-AA公司債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79,000","78,000","1,000","79,000","78,000","1,000","1,000"
"00755B","群益15年IG公用債","0","6,000","-6,000","0","0","0","0","6,000","-6,000","0","0","0","0","0","0","104,000","106,210","-2,210","104,000","106,210","-2,210","-8,210"
"00756B","群益15年EM主權債","0","159,000","-159,000","0","0","0","0","159,000","-159,000","0","0","0","0","0","0","107,000","51,000","56,000","107,000","51,000","56,000","-103,000"
"00758B","FH能源債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00759B","FH製藥債","198,000","0","198,000","0","0","0","198,000","0","198,000","0","0","0","0","0","0","102,000","300,000","-198,000","102,000","300,000","-198,000","0"
"00760B","FH新興企業債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","108,200","-8,200","100,000","108,200","-8,200","-8,200"
"00761B","國泰A級公司債","0","0","0","0","0","0","0","0","0","0","0","0","0","37,000","-37,000","133,000","101,000","32,000","133,000","138,000","-5,000","-5,000"
"00764B","群益25年美債","3,000","0","3,000","0","0","0","3,000","0","3,000","0","0","0","0","0","0","100,000","106,000","-6,000","100,000","106,000","-6,000","-3,000"
"00765B","群益中國政金債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00768B","FH20年美債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,100","100,003","97","100,100","100,003","97","97"
"00772B","中信高評級公司債","0","116,000","-116,000","0","0","0","0","116,000","-116,000","0","0","0","0","0","0","600,000","629,016","-29,016","600,000","629,016","-29,016","-145,016"
"00773B","中信優先金融債","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","220,000","207,000","13,000","220,000","207,000","13,000","12,000"
"00777B","凱基AAA至A公司債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102,000","102,000","0","102,000","102,000","0","0"
"00778B","凱基金融債20+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00779B","凱基美債25+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00780B","國泰A級金融債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","101,000","-1,000","100,000","101,000","-1,000","-1,000"
