"112年09月05日 三大法人買賣超日報"
"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
"2303","聯電            ","20,089,854","12,704,931","7,384,923","0","0","0","4,000,543","251,357","3,749,186","636,632","107,000","193,000","-86,000","970,632","248,000","722,632","11,770,741",
="00632R","元大台灣50反1   ","0","0","0","0","0","0","0","0","0","10,792,000","700,000","3,400,000","-2,700,000","21,897,000","8,405,000","13,492,000","10,792,000",
="050611","光寶科凱基32購07","0","0","0","0","0","0","0","0","0","7,342,000","0","0","0","7,404,000","62,000","7,342,000","7,342,000",
"2356","英業達          ","11,665,000","4,781,862","6,883,138","0","0","0","3,393","23,000","-19,607","276,676","777,498","716,857","60,641","387,035","171,000","216,035","7,140,207",
="0056","元大高股息      ","5,888,170","898,050","4,990,120","0","0","0","0","0","0","1,435,433","39,493","39,219","274","1,729,797","294,638","1,435,159","6,425,553",
="00893","國泰智能電動車  ","5,425,250","0","5,425,250","0","0","0","0","0","0","939,788","0","0","0","1,960,000","1,020,212","939,788","6,365,038",
="00712","復華富時不動產  ","3,131,305","137,000","2,994,305","0","0","0","0","0","0","2,996,647","0","0","0","3,323,000","326,353","2,996,647","5,990,952",
"2353","宏碁            ","12,968,946","8,088,000","4,880,946","0","0","0","695,021","0","695,021","130,879","484,998","439,000","45,998","538,881","454,000","84,881","5,706,846",
"2204","中華            ","9,431,459","4,588,000","4,843,459","0","0","0","0","114,000","-114,000","-18,843","92,350","153,333","-60,983","454,638","412,498","42,140","4,710,616",
"2329","華泰            ","6,460,520","2,171,000","4,289,520","0","0","0","1,638","0","1,638","81,001","5,001","10,000","-4,999","108,000","22,000","86,000","4,372,159",
"8112","至上            ","3,958,000","694,000","3,264,000","0","0","0","696,000","0","696,000","155,000","114,000","119,000","-5,000","241,000","81,000","160,000","4,115,000",
"6116","彩晶            ","7,540,000","3,429,500","4,110,500","0","0","0","0","6,414","-6,414","-3,000","0","3,000","-3,000","0","0","0","4,101,086",
"2331","精英            ","12,945,000","8,865,000","4,080,000","0","0","0","0","0","0","-166,759","795,000","710,633","84,367","91,988","343,114","-251,126","3,913,241",
="00881","國泰台灣5G+     ","1,890,000","76,000","1,814,000","0","0","0","0","0","0","2,033,179","0","0","0","2,683,581","650,402","2,033,179","3,847,179",
="00927","群益半導體收益  ","78,000","54,000","24,000","0","0","0","0","0","0","3,751,489","0","0","0","4,134,486","382,997","3,751,489","3,775,489",
"2340","台亞            ","4,595,000","2,182,100","2,412,900","0","0","0","0","0","0","1,102,752","434,301","28,254","406,047","728,000","31,295","696,705","3,515,652",
="00891","中信關鍵半導體  ","537,000","56,000","481,000","0","0","0","0","0","0","2,992,187","0","0","0","3,326,999","334,812","2,992,187","3,473,187",
"3044","健鼎            ","7,632,780","5,436,000","2,196,780","0","0","0","1,115,273","1,686","1,113,587","142,041","634,165","621,945","12,220","185,480","55,659","129,821","3,452,408",
"8110","華東            ","3,603,000","283,042","3,319,958","0","0","0","0","0","0","-3,001","0","3,001","-3,001","0","0","0","3,316,957",
="048523","T50反1元大37購03","0","0","0","0","0","0","0","0","0","2,982,000","0","0","0","3,222,000","240,000","2,982,000","2,982,000",
="053049","FB越南凱基33購01","0","0","0","0","0","0","0","0","0","2,956,000","0","0","0","2,991,000","35,000","2,956,000","2,956,000",
"3035","智原            ","4,025,321","2,808,300","1,217,021","0","0","0","460,000","109,531","350,469","1,183,675","1,269,525","243,000","1,026,525","262,733","105,583","157,150","2,751,165",
="042604","大立光統一34購02","0","0","0","0","0","0","0","0","0","2,745,000","0","0","0","2,845,000","100,000","2,745,000","2,745,000",
"2313","華通            ","2,534,021","1,269,100","1,264,921","0","0","0","864,224","37,913","826,311","645,897","857,967","439,070","418,897","315,000","88,000","227,000","2,737,129",
="00715L","期街口布蘭特正2 ","0","486,000","-486,000","0","0","0","0","0","0","3,105,120","1,285,000","0","1,285,000","4,354,043","2,533,923","1,820,120","2,619,120",
"9945","潤泰新          ","3,975,508","1,460,317","2,515,191","0","0","0","1,090","0","1,090","59,017","20,103","22,000","-1,897","65,914","5,000","60,914","2,575,298",
