112年05月30日 三大法人日交易資訊(含普通股、零股)依股票代碼排序  不含鉅額交易、綜合帳戶之投信買賣成交量
代號名稱外資及陸資(不含外資自營商)-買進股數外資及陸資(不含外資自營商)-賣出股數外資及陸資(不含外資自營商)-買賣超股數外資自營商-買進股數外資自營商-賣出股數外資自營商-買賣超股數外資及陸資-買進股數外資及陸資-賣出股數外資及陸資-買賣超股數投信-買進股數投信-賣出股數投信-買賣超股數自營商(自行買賣)-買進股數自營商(自行買賣)-賣出股數自營商(自行買賣)-買賣超股數自營商(避險)-買進股數自營商(避險)-賣出股數自營商(避險)-買賣超股數自營商-買進股數自營商-賣出股數自營商-買賣超股數三大法人買賣超股數合計
"00679B" "元大美債20年" "333720" "906000" "-572280" "0" "0" "0" "333720" "906000" "-572280" "0" "0" "0" "0" "100000" "-100000" "360000" "2630862" "-2270862" "360000" "2730862" "-2370862" "-2943142"
"00687B" "國泰20年美債" "1593040" "1000" "1592040" "0" "0" "0" "1593040" "1000" "1592040" "0" "0" "0" "1515000" "0" "1515000" "2904000" "16416641" "-13512641" "4419000" "16416641" "-11997641" "-10405601"
"00694B" "富邦美債1-3" "0" "40000" "-40000" "0" "0" "0" "0" "40000" "-40000" "0" "0" "0" "0" "0" "0" "232843" "160000" "72843" "232843" "160000" "72843" "32843"
"00695B" "富邦美債7-10" "1000" "0" "1000" "0" "0" "0" "1000" "0" "1000" "0" "0" "0" "0" "0" "0" "185000" "186000" "-1000" "185000" "186000" "-1000" "0"
"00696B" "富邦美債20年" "1299000" "348000" "951000" "0" "0" "0" "1299000" "348000" "951000" "0" "0" "0" "0" "0" "0" "2961000" "4711236" "-1750236" "2961000" "4711236" "-1750236" "-799236"
"00697B" "元大美債7-10" "0" "5000" "-5000" "0" "0" "0" "0" "5000" "-5000" "0" "0" "0" "0" "0" "0" "13763" "23800" "-10037" "13763" "23800" "-10037" "-15037"
"00718B" "富邦中國政策債" "0" "3000" "-3000" "0" "0" "0" "0" "3000" "-3000" "0" "0" "0" "0" "0" "0" "0" "2000" "-2000" "0" "2000" "-2000" "-5000"
"00719B" "元大美債1-3" "5000" "0" "5000" "0" "0" "0" "5000" "0" "5000" "0" "0" "0" "0" "0" "0" "40000" "112902" "-72902" "40000" "112902" "-72902" "-67902"
"00720B" "元大投資級公司債" "1528000" "374000" "1154000" "0" "0" "0" "1528000" "374000" "1154000" "0" "0" "0" "0" "0" "0" "59000" "5675021" "-5616021" "59000" "5675021" "-5616021" "-4462021"
"00721B" "元大中國債3-5" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6000" "-6000" "0" "6000" "-6000" "-6000"
