112年08月11日 三大法人日交易資訊(含普通股、鉅額、零股、綜合帳戶之投信買賣成交量)依股票代碼排序
代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"00679B","元大美債20年","725,594","3,271,000","-2,545,406","0","0","0","725,594","3,271,000","-2,545,406","0","0","0","160,000","0","160,000","5,225,000","17,545,447","-12,320,447","5,385,000","17,545,447","-12,160,447","-14,705,853"
"00687B","國泰20年美債","1,824,259","1,268,000","556,259","0","0","0","1,824,259","1,268,000","556,259","0","0","0","0","0","0","3,798,000","29,356,478","-25,558,478","3,798,000","29,356,478","-25,558,478","-25,002,219"
"00694B","富邦美債1-3","6,000","1,000","5,000","0","0","0","6,000","1,000","5,000","0","0","0","0","0","0","169,000","152,000","17,000","169,000","152,000","17,000","22,000"
"00695B","富邦美債7-10","82,000","0","82,000","0","0","0","82,000","0","82,000","0","0","0","0","0","0","151,000","238,050","-87,050","151,000","238,050","-87,050","-5,050"
"00696B","富邦美債20年","98,000","124,000","-26,000","0","0","0","98,000","124,000","-26,000","0","0","0","0","0","0","2,014,000","4,040,034","-2,026,034","2,014,000","4,040,034","-2,026,034","-2,052,034"
"00697B","元大美債7-10","61,000","7,000","54,000","0","0","0","61,000","7,000","54,000","0","0","0","0","0","0","20,000","146,175","-126,175","20,000","146,175","-126,175","-72,175"
"00718B","富邦中國政策債","3,000","0","3,000","0","0","0","3,000","0","3,000","0","0","0","0","0","0","151,000","151,000","0","151,000","151,000","0","3,000"
"00719B","元大美債1-3","0","3,000","-3,000","0","0","0","0","3,000","-3,000","0","0","0","0","0","0","81,000","321,329","-240,329","81,000","321,329","-240,329","-243,329"
"00720B","元大投資級公司債","169,120","2,340,000","-2,170,880","0","0","0","169,120","2,340,000","-2,170,880","0","0","0","0","0","0","272,000","5,915,941","-5,643,941","272,000","5,915,941","-5,643,941","-7,814,821"
"00721B","元大中國債3-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,811","0","2,811","2,811","0","2,811","2,811"
"00722B","群益投資級電信債","84,000","1,474,000","-1,390,000","0","0","0","84,000","1,474,000","-1,390,000","0","0","0","0","0","0","8,000","2,758,479","-2,750,479","8,000","2,758,479","-2,750,479","-4,140,479"
"00723B","群益投資級科技債","0","42,000","-42,000","0","0","0","0","42,000","-42,000","0","0","0","0","0","0","100,000","147,000","-47,000","100,000","147,000","-47,000","-89,000"
"00724B","群益投資級金融債","7,000","300,000","-293,000","0","0","0","7,000","300,000","-293,000","0","0","0","0","0","0","3,288,000","3,894,615","-606,615","3,288,000","3,894,615","-606,615","-899,615"
"00725B","國泰投資級公司債","72,000","468,000","-396,000","0","0","0","72,000","468,000","-396,000","0","0","0","0","0","0","2,116,000","4,159,779","-2,043,779","2,116,000","4,159,779","-2,043,779","-2,439,779"
"00726B","國泰5Y+新興債","0","2,000","-2,000","0","0","0","0","2,000","-2,000","0","0","0","0","0","0","100,336","136,072","-35,736","100,336","136,072","-35,736","-37,736"
"00727B","國泰1-5Y非投等債","1,000","4,000","-3,000","0","0","0","1,000","4,000","-3,000","0","0","0","0","0","0","109,865","135,800","-25,935","109,865","135,800","-25,935","-28,935"
"00734B","台新JPM新興債","0","11,000","-11,000","0","0","0","0","11,000","-11,000","0","0","0","0","0","0","990,000","998,000","-8,000","990,000","998,000","-8,000","-19,000"
"00740B","富邦全球投等債","15,000","310,000","-295,000","0","0","0","15,000","310,000","-295,000","0","0","0","0","0","0","4,046,000","4,385,166","-339,166","4,046,000","4,385,166","-339,166","-634,166"
"00741B","富邦全球非投等債","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","0","0","0","102,234","102,000","234","102,234","102,000","234","1,234"
"00744B","國泰中國政金債5+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,865","107,816","-6,951","100,865","107,816","-6,951","-6,951"
"00746B","富邦A級公司債","0","455,000","-455,000","0","0","0","0","455,000","-455,000","0","0","0","0","0","0","274,000","301,606","-27,606","274,000","301,606","-27,606","-482,606"
"00749B","凱基新興債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00750B","凱基科技債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","101,000","101,000","0","101,000","101,000","0","0"
"00751B","元大AAA至A公司債","300,000","2,564,000","-2,264,000","0","0","0","300,000","2,564,000","-2,264,000","0","0","0","0","0","0","1,479,000","19,216,035","-17,737,035","1,479,000","19,216,035","-17,737,035","-20,001,035"
"00754B","群益AAA-AA公司債","0","4,000","-4,000","0","0","0","0","4,000","-4,000","0","0","0","0","0","0","104,000","115,000","-11,000","104,000","115,000","-11,000","-15,000"
"00755B","群益投資級公用債","0","2,000","-2,000","0","0","0","0","2,000","-2,000","0","0","0","0","0","0","105,000","277,908","-172,908","105,000","277,908","-172,908","-174,908"
"00756B","群益投等新興公債","0","32,000","-32,000","0","0","0","0","32,000","-32,000","0","0","0","0","0","0","131,000","134,201","-3,201","131,000","134,201","-3,201","-35,201"
"00758B","復華能源債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","101,000","-1,000","100,000","101,000","-1,000","-1,000"
"00759B","復華製藥債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","101,000","-1,000","100,000","101,000","-1,000","-1,000"
"00760B","復華新興企業債","0","11,000","-11,000","0","0","0","0","11,000","-11,000","0","0","0","0","0","0","116,186","166,783","-50,597","116,186","166,783","-50,597","-61,597"
"00761B","國泰A級公司債","0","28,000","-28,000","0","0","0","0","28,000","-28,000","0","0","0","0","0","0","603,021","957,990","-354,969","603,021","957,990","-354,969","-382,969"
"00764B","群益25年美債","52,000","170,000","-118,000","0","0","0","52,000","170,000","-118,000","0","0","0","0","0","0","1,170,518","3,620,033","-2,449,515","1,170,518","3,620,033","-2,449,515","-2,567,515"
"00768B","復華20年美債","0","2,000","-2,000","0","0","0","0","2,000","-2,000","0","0","0","0","0","0","100,123","162,111","-61,988","100,123","162,111","-61,988","-63,988"
"00772B","中信高評級公司債","265,000","7,360,000","-7,095,000","0","0","0","265,000","7,360,000","-7,095,000","0","0","0","0","0","0","1,901,000","13,680,433","-11,779,433","1,901,000","13,680,433","-11,779,433","-18,874,433"
"00773B","中信優先金融債","166,000","2,403,000","-2,237,000","0","0","0","166,000","2,403,000","-2,237,000","0","0","0","0","0","0","2,004,000","4,524,115","-2,520,115","2,004,000","4,524,115","-2,520,115","-4,757,115"
"00777B","凱基AAA至A公司債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","112,000","-12,000","100,000","112,000","-12,000","-12,000"
"00778B","凱基金融債20+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","106,000","-6,000","100,000","106,000","-6,000","-6,000"
"00779B","凱基美債25+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","166,000","-66,000","100,000","166,000","-66,000","-66,000"
"00780B","國泰A級金融債","0","2,000","-2,000","0","0","0","0","2,000","-2,000","0","0","0","0","0","0","152,000","144,203","7,797","152,000","144,203","7,797","5,797"
"00781B","國泰A級科技債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","210,000","-110,000","100,000","210,000","-110,000","-110,000"
"00782B","國泰A級公用債","135,000","6,000","129,000","0","0","0","135,000","6,000","129,000","0","0","0","0","0","0","128,000","524,294","-396,294","128,000","524,294","-396,294","-267,294"
"00784B","富邦中國投等債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00785B","富邦金融投等債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","108,000","100,000","8,000","108,000","100,000","8,000","8,000"
"00786B","元大10年IG銀行債","12,000","0","12,000","0","0","0","12,000","0","12,000","0","0","0","0","0","0","0","298,004","-298,004","0","298,004","-298,004","-286,004"
"00787B","元大10年IG醫療債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10,000","46,255","-36,255","10,000","46,255","-36,255","-36,255"
"00788B","元大10年IG電能債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","362,000","-362,000","0","362,000","-362,000","-362,000"
"00789B","復華公司債A3","20,000","0","20,000","0","0","0","20,000","0","20,000","0","0","0","0","0","0","100,000","120,012","-20,012","100,000","120,012","-20,012","-12"
"00790B","復華次順位金融債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00791B","復華信用債1-5","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","0","0","0","102,000","102,000","0","102,000","102,000","0","1,000"
"00792B","群益A級公司債","6,000","18,000","-12,000","0","0","0","6,000","18,000","-12,000","0","0","0","0","0","0","101,230","107,889","-6,659","101,230","107,889","-6,659","-18,659"
"00793B","群益AAA-A醫療債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","106,600","-6,600","100,000","106,600","-6,600","-6,600"
"00794B","群益7+中國政金債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110,000","100,000","10,000","110,000","100,000","10,000","10,000"
"00795B","中信美國公債20年","9,505","6,688,000","-6,678,495","0","0","0","9,505","6,688,000","-6,678,495","0","0","0","0","0","0","3,596,000","15,025,809","-11,429,809","3,596,000","15,025,809","-11,429,809","-18,108,304"
"00799B","國泰A級醫療債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124,000","222,057","-98,057","124,000","222,057","-98,057","-98,057"
"00831B","新光美債1-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,000","2,000","0","2,000","2,000","0","0"
"00834B","第一金金融債10+","0","2,000","-2,000","0","0","0","0","2,000","-2,000","0","0","0","0","0","0","132,000","132,000","0","132,000","132,000","0","-2,000"
"00836B","永豐10年A公司債","0","3,000","-3,000","0","0","0","0","3,000","-3,000","0","0","0","0","0","0","214,000","236,000","-22,000","214,000","236,000","-22,000","-25,000"
"00840B","凱基IG精選15+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00841B","凱基AAA-AA公司債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102,000","104,000","-2,000","102,000","104,000","-2,000","-2,000"
"00842B","台新美元銀行債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","134,000","-34,000","100,000","134,000","-34,000","-34,000"
"00844B","新光15年IG金融債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,000","2,000","0","2,000","2,000","0","0"
