112年08月24日 三大法人日交易資訊(含普通股、零股)依股票代碼排序  不含鉅額交易、綜合帳戶之投信買賣成交量
代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"00679B","元大美債20年","275,610","1,336,000","-1,060,390","0","0","0","275,610","1,336,000","-1,060,390","0","0","0","180,000","50,000","130,000","2,141,000","4,155,662","-2,014,662","2,321,000","4,205,662","-1,884,662","-2,945,052"
"00687B","國泰20年美債","1,176,000","4,287,000","-3,111,000","0","0","0","1,176,000","4,287,000","-3,111,000","0","0","0","2,260,000","0","2,260,000","13,369,693","8,522,167","4,847,526","15,629,693","8,522,167","7,107,526","3,996,526"
"00694B","富邦美債1-3","17,000","15,000","2,000","0","0","0","17,000","15,000","2,000","0","0","0","0","0","0","294,102","296,000","-1,898","294,102","296,000","-1,898","102"
"00695B","富邦美債7-10","6,000","40,000","-34,000","0","0","0","6,000","40,000","-34,000","0","0","0","0","0","0","297,164","261,000","36,164","297,164","261,000","36,164","2,164"
"00696B","富邦美債20年","330,000","158,000","172,000","0","0","0","330,000","158,000","172,000","0","0","0","0","0","0","4,340,491","4,151,507","188,984","4,340,491","4,151,507","188,984","360,984"
"00697B","元大美債7-10","4,000","24,000","-20,000","0","0","0","4,000","24,000","-20,000","0","0","0","0","0","0","135,236","183,800","-48,564","135,236","183,800","-48,564","-68,564"
"00718B","富邦中國政策債","0","75,000","-75,000","0","0","0","0","75,000","-75,000","0","0","0","0","0","0","245,000","170,000","75,000","245,000","170,000","75,000","0"
"00719B","元大美債1-3","3,000","74,000","-71,000","0","0","0","3,000","74,000","-71,000","0","0","0","300,000","0","300,000","898,000","1,167,309","-269,309","1,198,000","1,167,309","30,691","-40,309"
"00720B","元大投資級公司債","2,014,000","730,000","1,284,000","0","0","0","2,014,000","730,000","1,284,000","0","0","0","526,000","83,000","443,000","1,166,000","2,768,870","-1,602,870","1,692,000","2,851,870","-1,159,870","124,130"
"00721B","元大中國債3-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60,000","60,000","0","60,000","60,000","0","0"
"00722B","群益投資級電信債","1,647,000","108,000","1,539,000","0","0","0","1,647,000","108,000","1,539,000","0","0","0","0","0","0","2,926,000","4,057,289","-1,131,289","2,926,000","4,057,289","-1,131,289","407,711"
"00723B","群益投資級科技債","25,000","0","25,000","0","0","0","25,000","0","25,000","0","0","0","0","0","0","117,000","130,000","-13,000","117,000","130,000","-13,000","12,000"
"00724B","群益投資級金融債","229,000","2,000","227,000","0","0","0","229,000","2,000","227,000","0","0","0","0","0","0","3,507,153","3,669,834","-162,681","3,507,153","3,669,834","-162,681","64,319"
"00725B","國泰投資級公司債","881,000","168,000","713,000","0","0","0","881,000","168,000","713,000","0","0","0","0","0","0","932,678","1,266,045","-333,367","932,678","1,266,045","-333,367","379,633"
"00726B","國泰5Y+新興債","6,000","0","6,000","0","0","0","6,000","0","6,000","0","0","0","0","0","0","138,013","324,995","-186,982","138,013","324,995","-186,982","-180,982"
"00727B","國泰1-5Y非投等債","2,000","12,000","-10,000","0","0","0","2,000","12,000","-10,000","0","0","0","0","0","0","101,030","195,119","-94,089","101,030","195,119","-94,089","-104,089"
"00734B","台新JPM新興債","0","22,000","-22,000","0","0","0","0","22,000","-22,000","0","0","0","0","0","0","958,000","975,000","-17,000","958,000","975,000","-17,000","-39,000"
"00740B","富邦全球投等債","1,243,000","65,000","1,178,000","0","0","0","1,243,000","65,000","1,178,000","0","0","0","0","0","0","3,376,706","4,630,003","-1,253,297","3,376,706","4,630,003","-1,253,297","-75,297"
"00741B","富邦全球非投等債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102,000","100,134","1,866","102,000","100,134","1,866","1,866"
"00744B","國泰中國政金債5+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","280,418","101,000","179,418","280,418","101,000","179,418","179,418"
"00746B","富邦A級公司債","331,000","0","331,000","0","0","0","331,000","0","331,000","0","0","0","0","0","0","165,000","493,000","-328,000","165,000","493,000","-328,000","3,000"
"00749B","凱基新興債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105,000","100,000","5,000","105,000","100,000","5,000","5,000"
"00750B","凱基科技債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00751B","元大AAA至A公司債","4,199,000","316,000","3,883,000","0","0","0","4,199,000","316,000","3,883,000","0","0","0","0","0","0","4,221,407","3,141,312","1,080,095","4,221,407","3,141,312","1,080,095","4,963,095"
"00754B","群益AAA-AA公司債","11,000","1,000","10,000","0","0","0","11,000","1,000","10,000","0","0","0","0","0","0","142,000","104,000","38,000","142,000","104,000","38,000","48,000"
"00755B","群益投資級公用債","32,000","2,000","30,000","0","0","0","32,000","2,000","30,000","0","0","0","0","0","0","101,081","124,435","-23,354","101,081","124,435","-23,354","6,646"
"00756B","群益投等新興公債","189,000","0","189,000","0","0","0","189,000","0","189,000","0","0","0","0","0","0","105,000","342,100","-237,100","105,000","342,100","-237,100","-48,100"
"00758B","復華能源債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00759B","復華製藥債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00760B","復華新興企業債","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","100,000","106,139","-6,139","100,000","106,139","-6,139","-7,139"
"00761B","國泰A級公司債","357,000","4,000","353,000","0","0","0","357,000","4,000","353,000","0","0","0","0","0","0","190,061","466,211","-276,150","190,061","466,211","-276,150","76,850"
"00764B","群益25年美債","258,000","153,000","105,000","0","0","0","258,000","153,000","105,000","0","0","0","0","0","0","3,833,604","2,978,907","854,697","3,833,604","2,978,907","854,697","959,697"
"00768B","復華20年美債","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","121,157","100,000","21,157","121,157","100,000","21,157","20,157"
