上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:111/09/16
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","33.88","+0.24","33.75","33.89","33.75","3,207,000","108,534,440","756","33.88","9","33.89","211","1,068,692,000","9,999.95","0.01"
"00687B","國泰20年美債","35.54","+0.22","35.51","35.56","35.48","1,031,000","36,626,360","28","35.53","115","35.54","1","251,787,000","9,999.95","0.01"
"00694B","富邦美債1-3","39.32","+0.25","39.15","39.34","39.15","308,000","12,104,620","32","39.29","20","39.32","2","109,076,000","9,999.95","0.01"
"00695B","富邦美債7-10","35.56","+0.19","35.42","35.57","35.42","102,000","3,624,230","24","35.52","20","35.56","1","16,186,000","9,999.95","0.01"
"00696B","富邦美債20年","35.65","+0.38","35.49","35.66","35.49","154,000","5,484,920","77","35.65","2","35.68","36","570,681,000","9,999.95","0.01"
"00697B","元大美債7-10","37.42","+0.15","37.29","37.42","37.29","112,000","4,183,300","12","37.40","1","37.42","53","8,712,000","9,999.95","0.01"
"00718B","富邦中國政策債","20.38","-0.01","20.39","20.39","20.37","157,000","3,198,170","9","20.30","30","20.35","2","622,001,000","9,999.95","0.01"
"00719B","元大美債1-3","31.68","+0.17","31.59","31.70","31.59","444,000","14,054,510","61","31.66","3","31.69","5","122,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","35.35","+0.15","35.14","35.35","35.14","470,000","16,582,650","114","35.35","3","35.36","1","920,609,000","9,999.95","0.01"
"00721B","元大中國債3-5","46.38","+0.15","46.35","46.39","46.33","174,000","8,065,100","7","46.15","31","46.42","2","41,622,000","9,999.95","0.01"
"00722B","群益15年IG電信債","38.50","+0.03","38.49","38.54","38.48","153,000","5,889,970","21","38.54","2","38.56","150","992,739,000","9,999.95","0.01"
"00723B","群益15年IG科技債","34.31","+0.06","34.60","34.60","34.28","106,000","3,637,120","10","34.30","10","34.33","1","1,135,583,000","9,999.95","0.01"
"00724B","群益10年IG金融債","33.95","0.00","33.91","33.95","33.90","131,000","4,445,600","19","33.95","1","33.98","10","2,461,775,000","9,999.95","0.01"
"00725B","國泰投資級公司債","36.34","+0.09","36.31","36.35","36.27","135,000","4,905,280","17","36.34","1","36.35","1","1,423,706,000","9,999.95","0.01"
"00726B","國泰5Y+新興債","33.77","+0.12","33.69","33.78","33.69","122,000","4,119,600","11","33.75","6","33.79","6","1,133,489,000","9,999.95","0.01"
"00727B","國泰1-5Y非投等債","37.69","+0.04","37.68","37.69","37.67","154,000","5,802,750","22","37.70","1","37.71","2","103,689,000","9,999.95","0.01"
"00734B","台新JPM新興債","16.00","+0.07","16.00","16.00","16.00","1,022,000","16,352,000","9","16.00","80","16.04","12","29,479,000","9,999.95","0.01"
"00740B","富邦全球投等債","39.19","+0.18","39.15","39.23","39.15","115,000","4,504,960","19","39.13","10","39.17","1","910,971,000","9,999.95","0.01"
"00741B","富邦全球非投等債","37.12","+0.06","37.15","37.16","37.11","107,000","3,972,500","11","37.10","10","37.15","9","8,128,000","9,999.95","0.01"
"00744B","國泰中國政金債5+","43.97","-0.09","43.97","43.97","43.96","105,000","4,616,810","4","43.95","15","43.97","1","25,728,000","9,999.95","0.01"
"00745B","富邦中政債0-1","42.45","-0.01","42.45","42.45","42.43","101,000","4,286,450","5","42.18","1","42.58","20","2,516,000","9,999.95","0.01"
"00746B","富邦A級公司債","37.10","+0.05","37.16","37.21","37.10","110,000","4,085,360","14","37.12","10","37.18","1","1,552,964,000","9,999.95","0.01"
"00747B","FH中國政策債","54.15","+0.25","54.15","54.15","54.00","110,000","5,953,100","6","54.15","10","54.30","9","4,500,000","9,999.95","0.01"
"00748B","凱基中國債3-10","43.52","+0.18","43.52","43.52","43.52","100,000","4,352,000","2","43.50","7","43.64","24","30,500,000","9,999.95","0.01"
"00749B","凱基新興債10+","31.60","-0.21","31.81","31.81","31.57","184,000","5,815,160","22","31.54","104","31.60","9","973,500,000","9,999.95","0.01"
"00750B","凱基科技債10+","35.36","+0.11","35.36","35.36","35.36","100,000","3,536,000","4","35.36","1","35.40","1","125,500,000","9,999.95","0.01"
"00751B","元大AAA至A公司債","36.41","+0.15","36.32","36.43","36.32","254,000","9,238,420","82","36.41","12","36.42","31","1,542,103,000","9,999.95","0.01"
"00754B","群益AAA-AA公司債","38.15","+0.12","38.03","38.15","38.03","105,000","4,005,150","11","38.09","10","38.15","1","268,900,000","9,999.95","0.01"
"00755B","群益15年IG公用債","35.58","+0.10","35.58","35.58","35.58","104,000","3,700,320","8","35.51","62","35.55","1","124,730,000","9,999.95","0.01"
"00756B","群益15年EM主權債","33.27","+0.18","33.34","33.34","33.25","109,000","3,624,420","13","33.09","3","33.27","1","1,054,800,000","9,999.95","0.01"
"00758B","FH能源債","52.05","+0.20","52.10","52.10","52.05","100,000","5,207,500","2","51.75","6","52.25","6","5,525,000","9,999.95","0.01"
"00759B","FH製藥債","57.65","+0.20","57.65","57.65","57.65","100,000","5,765,000","2","57.20","6","58.00","107","49,025,000","9,999.95","0.01"
"00760B","FH新興企業債","53.00","+0.20","52.75","53.20","52.75","103,000","5,459,100","5","52.75","112","53.15","1","350,520,000","9,999.95","0.01"
"00761B","國泰A級公司債","37.80","+0.06","37.78","37.80","37.77","165,000","6,234,310","13","37.77","2","37.80","21","1,869,089,000","9,999.95","0.01"
"00764B","群益25年美債","35.70","+0.22","35.67","35.74","35.67","107,000","3,818,860","11","35.65","11","35.68","1","706,500,000","9,999.95","0.01"
"00765B","群益中國政金債","41.12","+0.04","40.98","41.12","40.98","125,000","5,136,500","3","41.12","10","41.20","10","3,000,000","9,999.95","0.01"
"00768B","FH20年美債","58.75","+0.50","58.60","58.75","58.60","103,000","6,036,250","4","58.40","110","58.75","1","235,100,000","9,999.95","0.01"
"00772B","中信高評級公司債","36.57","+0.14","36.53","36.58","36.47","932,000","34,059,270","118","36.57","17","36.58","7","1,568,290,000","9,999.95","0.01"
"00773B","中信優先金融債","36.50","+0.06","36.48","36.50","36.47","760,000","27,720,180","77","36.50","7","36.51","22","1,592,790,000","9,999.95","0.01"
"00777B","凱基AAA至A公司債","36.12","+0.10","36.12","36.12","36.12","100,000","3,612,000","4","36.13","7","36.18","1","1,041,150,000","9,999.95","0.01"
"00778B","凱基金融債20+","35.95","+0.09","35.95","35.95","35.95","100,000","3,595,000","2","35.92","7","35.98","2","961,650,000","9,999.95","0.01"
"00779B","凱基美債25+","35.78","+0.26","35.78","35.78","35.78","100,000","3,578,000","2","35.76","7","35.89","2","603,150,000","9,999.95","0.01"
"00780B","國泰A級金融債","36.53","+0.08","36.53","36.53","36.53","100,000","3,653,000","4","36.52","16","36.53","1","258,102,000","9,999.95","0.01"
"00781B","國泰A級科技債","34.55","+0.07","34.55","34.57","34.53","140,000","4,836,710","16","34.54","1","34.55","10","3,336,000","9,999.95","0.01"
"00782B","國泰A級公用債","34.52","+0.09","34.50","34.52","34.50","116,000","4,004,000","5","34.47","32","34.56","49","3,467,000","9,999.95","0.01"
"00784B","富邦中國投等債","36.84","+0.19","36.73","36.91","36.73","111,000","4,088,210","6","36.81","25","36.90","1","2,993,000","9,999.95","0.01"
"00785B","富邦金融投等債","34.94","-0.01","34.98","34.98","34.94","102,000","3,564,940","6","34.95","10","34.96","2","615,966,000","9,999.95","0.01"
"00786B","元大10年IG銀行債","33.86","+0.04","33.82","33.86","33.78","133,000","4,501,490","12","33.79","18","33.92","12","8,066,000","9,999.95","0.01"
"00787B","元大10年IG醫療債","35.84","+0.27","35.90","35.90","35.78","103,000","3,691,580","5","35.78","9","35.90","7","7,806,000","9,999.95","0.01"
"00788B","元大10年IG電能債","33.34","+0.11","33.30","33.34","33.30","163,000","5,434,300","4","33.28","10","33.44","10","6,206,000","9,999.95","0.01"
"00789B","FH公司債A3","53.90","-0.05","53.90","53.90","53.90","100,000","5,390,000","2","53.70","11","54.15","8","51,100,000","9,999.95","0.01"
"00790B","FH次順位IG金融債","53.30","-0.15","53.30","53.30","53.30","100,000","5,330,000","2","53.10","8","53.50","100","2,100,000","9,999.95","0.01"
