證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","5321361","725081014","136.25","136.75","135.65","136.50","0.4000","4657"
"0051","元大中型100","10237","579234","56.80","56.80","56.55","56.60","-0.0500","39"
"0052","富邦科技","327059","40672513","124.15","124.80","123.50","124.55","0.5000","157"
"0053","元大電子","8100","533590","66.20","66.20","65.65","65.90","-0.3000","9"
"0054","元大台商50","2006","61893","30.96","30.96","30.75","30.75","0.0000","5"
"0055","元大MSCI金融","51996","1239440","23.90","23.90","23.76","23.89","-0.0100","77"
"0056","元大高股息","148804731","4568300306","30.71","30.87","30.59","30.84","0.0000","75623"
"0057","富邦摩台","21000","1962050","93.05","93.45","93.05","93.45","-0.0500","3"
"0061","元大寶滬深","353773","8137414","22.70","23.13","22.70","23.01","0.2200","160"
"006203","元大MSCI台灣","24069","1556856","64.75","65.10","64.65","65.10","-0.3500","11"
"006204","永豐臺灣加權","35392","2987390","84.55","84.80","84.05","84.55","-0.2000","62"
"006205","富邦上証","711050","26661960","37.24","37.72","37.24","37.65","0.4100","231"
"006206","元大上證50","668514","24485103","36.17","36.85","36.17","36.83","0.6600","172"
"006207","FH滬深","176034","5316930","29.91","30.31","29.91","30.28","0.3700","50"
"006208","富邦台50","1018215","79749221","78.35","78.55","78.00","78.45","0.1000","1195"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2634674","329137552","125.35","125.80","123.80","125.30","0.5000","902"
"00632R","元大台灣50反1","83870280","468110335","5.57","5.61","5.56","5.57","-0.0100","2691"
"00633L","富邦上証正2","6889836","406093489","57.65","59.90","57.60","59.55","2.0000","1684"
"00634R","富邦上証反1","834000","3219990","3.89","3.89","3.84","3.84","-0.0800","99"
"00635U","期元大S&P黃金","2253360","53555019","23.80","23.81","23.74","23.79","0.0000","141"
"00636","國泰中國A50","2161310","55788590","25.50","25.96","25.50","25.87","0.4100","445"
"00636K","國泰中國A50+U","200","1836","9.18","9.18","9.18","9.18","0.0300","2"
"00637L","元大滬深300正2","56231545","1313252510","22.86","23.77","22.86","23.62","0.7900","9194"
"00638R","元大滬深300反1","2494505","19824494","8.06","8.06","7.89","7.91","-0.1500","236"
"00639","富邦深100","1230527","20525965","16.49","16.76","16.49","16.74","0.2500","218"
"00640L","富邦日本正2","403000","12268760","30.49","30.63","30.25","30.31","-0.0500","95"
"00641R","富邦日本反1","83000","835650","10.08","10.10","10.03","10.09","0.0000","24"
"00642U","期元大S&P石油","6793512","97570757","14.38","14.47","14.27","14.32","-0.1900","1589"
"00643","群益深証中小","526263","9847690","18.57","18.80","18.57","18.71","0.1400","122"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","240104","6346814","26.42","26.50","26.31","26.34","-0.0800","46"
"00646","元大S&P500","603105","23452972","38.83","38.92","38.83","38.85","0.1700","380"
"00647L","元大S&P500正2","70682","5124394","72.40","72.60","72.40","72.55","0.8000","53"
"00648R","元大S&P500反1","2478000","16625970","6.71","6.71","6.70","6.71","-0.0200","120"
"00650L","FH香港正2","1144039","28737655","25.15","25.30","24.91","25.04","0.2500","99"
"00651R","FH香港反1","425000","3099360","7.33","7.33","7.27","7.30","-0.0400","61"
"00652","富邦印度","67613","2034106","29.78","30.16","29.78","30.15","0.3700","91"
"00653L","富邦印度正2","250300","12568790","50.10","50.50","50.10","50.15","0.4000","79"
"00654R","富邦印度反1","276000","2184210","7.90","7.94","7.89","7.90","-0.0500","54"
"00655L","國泰中國A50正2","4015327","178234837","43.29","45.05","43.29","44.78","1.5600","1203"
"00656R","國泰中國A50反1","188000","1363500","7.35","7.35","7.21","7.23","-0.1300","57"
"00657","國泰日經225","16050","559604","34.89","34.89","34.65","34.77","0.1700","7"
"00657K","國泰日經225+U","200","2502","12.51","12.51","12.51","12.51","0.0300","2"
"00660","元大歐洲50","4000","119160","29.79","29.79","29.79","29.79","0.0400","3"
"00661","元大日經225","201000","7266990","36.18","36.18","35.99","35.99","-0.1100","5"
"00662","富邦NASDAQ","86138","4768981","55.45","55.45","55.25","55.30","0.2500","103"
"00663L","國泰臺灣加權正2","11000","1243000","112.70","113.30","112.70","113.00","0.3000","6"
"00664R","國泰臺灣加權反1","2521000","15935060","6.32","6.35","6.30","6.32","0.0000","221"
"00665L","富邦恒生國企正2","744000","13764740","18.20","18.65","18.10","18.49","0.4900","177"
"00666R","富邦恒生國企反1","73000","877460","12.02","12.02","12.02","12.02","-0.0500","4"
"00668","國泰美國道瓊","23085","829791","35.85","35.98","35.85","35.97","0.1900","24"
"00668K","國泰美國道瓊+U","200","2572","12.86","12.86","12.86","12.86","0.0100","2"
"00669R","國泰美國道瓊反1","3670000","28374230","7.74","7.74","7.72","7.74","-0.0200","422"
"00670L","富邦NASDAQ正2","861590","97449676","113.10","113.30","112.85","112.95","1.0000","123"
"00671R","富邦NASDAQ反1","3304000","17266130","5.23","5.23","5.22","5.23","-0.0300","232"
"00673R","期元大S&P原油反1","2941180","37726678","12.77","12.88","12.73","12.88","0.1700","411"
"00674R","期元大S&P黃金反1","38000","502420","13.23","13.23","13.21","13.23","0.0000","5"
"00675L","富邦臺灣加權正2","451690","21944738","48.71","48.83","48.11","48.62","0.0800","260"
"00676R","富邦臺灣加權反1","3052000","10539030","3.45","3.47","3.44","3.45","-0.0100","215"
"00678","群益NBI生技","485841","13686287","28.04","28.20","28.04","28.20","0.2800","66"
"00680L","元大美債20正2","20000","471420","23.55","23.64","23.52","23.64","0.0400","10"
"00681R","元大美債20反1","144000","1959690","13.64","13.65","13.60","13.61","-0.0200","15"
"00682U","期元大美元指數","77000","1422800","18.47","18.50","18.46","18.50","0.0400","24"
"00683L","期元大美元指正2","436100","7730084","17.70","17.75","17.70","17.75","0.0700","135"
"00684R","期元大美元指反1","","","","","","","0.0000",""
"00685L","群益臺灣加權正2","9000","384020","42.69","42.90","42.35","42.86","0.0700","7"
"00686R","群益臺灣加權反1","113000","426180","3.77","3.79","3.76","3.79","0.0300","6"
"00688L","國泰20年美債正2","5000","117710","23.51","23.55","23.51","23.55","0.0500","3"
"00689R","國泰20年美債反1","128000","1830860","14.37","14.37","14.30","14.30","-0.0400","16"
"00690","兆豐藍籌30","105000","3448850","32.74","32.88","32.74","32.88","0.0500","8"
"00692","富邦公司治理","1195265","42060516","35.20","35.29","35.01","35.25","0.1000","571"
"00693U","期街口S&P黃豆","547600","10853592","19.84","19.86","19.75","19.83","-0.2800","244"
"00700","富邦恒生國企","253026","4271221","16.68","16.94","16.68","16.88","0.1300","27"
"00701","國泰股利精選30","487534","12428451","25.47","25.54","25.41","25.52","0.0500","198"
"00702","國泰標普低波高息","114100","2274370","19.97","19.97","19.92","19.92","-0.0900","8"
"00703","台新MSCI中國","89000","1960540","21.98","22.09","21.95","22.01","0.1800","25"
"00706L","期元大S&P日圓正2","47000","691280","14.71","14.73","14.68","14.73","0.0300","18"
"00707R","期元大S&P日圓反1","","","","","","","0.0000",""
"00708L","期元大S&P黃金正2","519228","13336271","25.64","25.73","25.63","25.69","0.0800","139"
"00709","富邦歐洲","202163","4847623","23.97","24.00","23.93","23.93","0.1000","26"
"00710B","FH彭博高收益債","133927","2429202","18.14","18.14","18.13","18.13","-0.0100","78"
"00711B","FH彭博新興債","101365","2014119","19.87","19.87","19.87","19.87","0.0200","11"
"00712","FH富時不動產","3245620","47062878","14.45","14.52","14.45","14.51","0.0600","984"
"00713","元大台灣高息低波","100074","4392800","43.84","43.99","43.77","43.94","0.1000","43"
"00714","群益道瓊美國地產","305459","6901439","22.55","22.62","22.55","22.62","0.1700","99"
"00715L","期街口布蘭特正2","29427335","347732384","11.90","12.03","11.69","11.73","-0.3900","4971"
"00717","富邦美國特別股","336381","5659698","16.81","16.84","16.81","16.83","0.0200","81"
"00728","第一金工業30","67797","1921939","28.30","28.45","28.29","28.45","0.1500","65"
"00730","富邦臺灣優質高息","1086624","20873585","19.11","19.37","19.09","19.25","0.1400","629"
"00731","FH富時高息低波","256000","15577600","60.85","60.85","60.85","60.85","0.0000","8"
"00732","國泰RMB短期報酬","100000","4011000","40.11","40.11","40.11","40.11","-0.0700","2"
"00733","富邦臺灣中小","557678","21913467","38.95","39.52","38.95","39.43","0.5000","281"
"00735","國泰臺韓科技","102000","3162890","30.94","31.01","30.94","30.95","0.0100","4"
"00736","國泰新興市場","102000","2347820","22.91","23.02","22.91","23.02","-0.0400","4"
"00737","國泰AI+Robo","422071","14239988","33.68","33.77","33.68","33.77","0.1500","49"
"00738U","期元大道瓊白銀","595259","14758238","24.78","24.83","24.75","24.81","-0.1200","179"
"00739","元大MSCI A股","130916","3701820","28.14","28.42","28.14","28.38","0.3000","71"
"00742","新光內需收益","125000","2864170","22.91","22.95","22.88","22.93","0.0200","13"
"00743","國泰中國A150","2138","63304","29.62","29.62","29.62","29.62","0.0000","3"
"00752","中信中國50","1458141","37243602","25.33","25.62","25.33","25.52","0.2000","510"
"00753L","中信中國50正2","1124049","32110740","28.20","28.79","28.17","28.62","0.5700","288"
"00757","統一FANG+","809683","42225064","52.10","52.20","52.10","52.15","0.4000","641"
"00762","元大全球AI","515322","22629950","43.66","44.01","43.66","43.95","0.3400","192"
"00763U","期街口道瓊銅","207437","6127217","29.41","29.68","29.41","29.51","-0.9400","113"
"00770","國泰北美科技","101983","3961988","38.88","38.88","38.85","38.85","0.0800","7"
"00771","元大US高息特別股","33153","634813","19.16","19.16","19.12","19.16","0.0400","23"
"00774B","新光中國政金綠債","2000","79200","39.60","39.60","39.60","39.60","0.1000","2"
"00774C","新光中政金綠債+R","","","","","","","0.0000",""
"00775B","新光投等債15+","2111","87806","41.65","41.65","41.65","41.65","0.1500","4"
"00783","富邦中証500","250615","6034323","24.20","24.20","24.01","24.01","-0.1900","19"
"008201","BP上證50","200","24025","119.75","120.50","119.75","120.50","0.0000","2"
"00830","國泰費城半導體","721003","21587822","29.87","29.97","29.87","29.95","0.3100","297"
"00850","元大臺灣ESG永續","573341","19710802","34.32","34.45","34.20","34.38","0.0600","596"
"00851","台新全球AI","6052","213300","35.30","35.30","35.21","35.21","-0.0600","7"
"00852L","國泰美國道瓊正2","225150","4966130","22.05","22.09","22.02","22.03","0.1300","63"
"00861","元大全球未來通訊","732305","21228494","28.90","29.02","28.90","29.00","0.1600","192"
"00865B","國泰US短期公債","100000","3670000","36.70","36.70","36.70","36.70","0.0800","2"
"00875","國泰網路資安","996513","33220236","33.18","33.38","33.18","33.35","0.2200","225"
"00876","元大未來關鍵科技","1157059","33601840","28.93","29.07","28.91","29.03","0.2100","213"
"00878","國泰永續高股息","7640766","139029825","18.20","18.23","18.15","18.19","0.0100","2944"
"00881","國泰台灣5G+","10276513","175442803","17.07","17.13","16.99","17.09","0.0700","3749"
"00882","中信中國高股息","3326749","48563135","14.51","14.64","14.50","14.57","0.0700","939"
"00885","富邦越南","4308891","71483255","16.62","16.64","16.53","16.62","-0.0300","1612"
"00891","中信關鍵半導體","9803936","152195544","15.45","15.60","15.41","15.55","0.1300","2196"
"00892","富邦台灣半導體","5483682","87107577","15.80","15.97","15.76","15.92","0.1100","1020"
"00893","國泰智能電動車","32707420","515509354","15.70","15.81","15.69","15.80","0.2600","6769"
"00894","中信小資高價30","1907147","28063261","14.71","14.77","14.64","14.75","0.0600","455"
"00895","富邦未來車","8237740","132334512","15.99","16.13","15.95","16.13","0.3000","1848"
"00896","中信綠能及電動車","5688964","82724272","14.61","14.62","14.47","14.55","-0.0200","2431"
"00897","富邦基因免疫生技","3177983","46340788","14.49","14.62","14.49","14.60","0.1600","613"
"01001T","土銀富邦R1","69000","1203600","17.39","17.50","17.39","17.40","0.0000","11"
"01002T","土銀國泰R1","1","18","","","","","0.0000","1"
"01003T","兆豐新光R1","136000","2672380","19.65","19.65","19.64","19.65","0.0300","28"
"01004T","土銀富邦R2","8001","125606","15.70","15.71","15.69","15.71","0.0100","5"
"01007T","兆豐國泰R2","36300","725719","19.99","20.00","19.96","20.00","0.0100","38"
"01009T","王道圓滿R1","108000","980690","9.09","9.09","9.07","9.09","-0.0100","18"
"01010T","京城樂富R1","41000","436810","10.66","10.66","10.64","10.65","0.0000","20"
"020000","富邦特選蘋果N","6000","40810","6.82","6.82","6.78","6.78","-0.0400","6"
"020002","元富新中國N","","","","","","","0.0000",""
"020004","兆豐電菁英30N","","","","","","","0.0000",""
"020006","永昌中小300N","","","","","","","0.0000",""
"020007","凱基臺灣500N","","","","","","","0.0000",""
"020008","元大特股高息N","21000","262000","12.45","12.48","12.45","12.48","0.0200","6"
"020011","統一微波高息20N","7000","46330","6.61","6.62","6.61","6.62","0.0000","3"
"020012","富邦行動通訊N","102000","601800","5.90","5.90","5.90","5.90","0.0800","2"
"020015","統一MSCI美低波N","1000","15350","15.35","15.35","15.35","15.35","0.0000","1"
"020016","統一MSCI美科技N","1000","20680","20.68","20.68","20.68","20.68","0.0400","1"
"020018","統一價值成長30N","14000","233090","16.70","16.70","16.61","16.61","-0.0900","9"
"020019","統一特選台灣5GN","2000","27360","13.68","13.68","13.68","13.68","-0.0100","2"
"02001L","富邦蘋果正二N","103000","1004200","9.70","9.75","9.70","9.75","-0.3000","3"
"02001R","富邦蘋果反一N","","","","","","","0.0000",""
"020020","元大台股領航N","286000","2012380","7.07","7.07","7.02","7.05","-0.0200","52"
"020022","元大電動車N","3908000","19578360","5.08","5.08","4.99","5.01","-0.0400","426"
"020028","元大特選電動車N","1871000","9050990","4.91","4.91","4.82","4.83","-0.0500","404"
"1101","台泥","9553573","466712636","48.75","49.00","48.60","48.80","0.0500","4643"
"1101B","台泥乙特","3035","157808","52.20","52.20","51.90","51.90","0.0000","5"
"1102","亞泥","6079229","273801598","45.00","45.20","44.80","44.85","0.2500","2061"
"1103","嘉泥","467553","9444025","20.40","20.40","20.05","20.20","-0.2000","332"
"1104","環泥","306954","6336478","20.75","20.75","20.55","20.70","-0.0500","211"
"1108","幸福","198178","2326100","11.85","11.90","11.70","11.75","-0.1000","96"
"1109","信大","697151","14779622","21.80","21.80","21.05","21.10","-0.6000","435"
"1110","東泥","1196612","22224316","19.10","19.10","18.30","18.55","-0.5500","494"
"1201","味全","1950286","46365833","23.75","23.85","23.65","23.80","0.0500","779"
"1203","味王","1327","42816","32.30","32.30","32.30","32.30","0.0000","18"
"1210","大成","796057","42606002","53.60","53.80","53.40","53.50","0.3000","1082"
"1213","大飲","","","","","","","0.0000",""
"1215","卜蜂","232794","18522231","78.90","80.00","78.90","79.60","0.7000","279"
"1216","統一","4521069","303510055","67.00","67.40","66.80","67.30","0.3000","1740"
"1217","愛之味","934312","9572386","10.30","10.35","10.20","10.20","-0.0500","394"
"1218","泰山","268525","7632550","28.70","28.70","28.35","28.40","-0.3000","356"
"1219","福壽","1271886","28710433","22.75","22.75","22.30","22.55","-0.2000","572"
"1220","台榮","214350","3453162","16.20","16.25","16.05","16.05","-0.0500","126"
"1225","福懋油","635972","34291411","55.00","55.00","52.30","54.60","1.1000","427"
"1227","佳格","760347","38842727","51.30","51.30","50.90","51.20","0.3000","689"
"1229","聯華","1386510","76840575","55.60","55.90","55.10","55.20","-0.3000","2058"
"1231","聯華食","219326","14739124","67.90","67.90","66.90","66.90","-1.2000","403"
"1232","大統益","18216","2871831","157.50","158.00","157.50","157.50","0.0000","109"
"1233","天仁","24005","792112","32.50","33.35","32.50","33.30","0.2500","20"
"1234","黑松","33629","1154302","34.40","34.50","34.10","34.30","-0.1500","42"
"1235","興泰","183550","8157401","46.50","46.50","43.55","43.90","-0.1000","78"
"1236","宏亞","2352","33393","14.20","14.20","14.20","14.20","0.1500","27"
"1256","鮮活果汁-KY","34465","12827719","375.00","375.00","371.50","371.50","0.5000","312"
"1301","台塑","11913320","1312671587","112.00","113.00","109.50","110.00","-3.5000","5894"
"1303","南亞","4074116","361368941","89.70","89.70","88.30","88.40","-0.9000","2261"
"1304","台聚","14845387","540259968","37.75","37.75","35.80","36.00","-1.4500","8365"
"1305","華夏","19043653","723656460","39.35","39.35","37.40","37.45","-1.9000","9287"
"1307","三芳","81150","1773785","21.90","22.15","21.60","21.65","-0.2500","44"
"1308","亞聚","28381065","1163508937","42.60","42.80","40.00","40.55","-2.6500","14411"
"1309","台達化","1522632","54057730","36.20","36.20","35.35","35.35","-0.9000","1146"
"1310","台苯","4627422","83421610","18.25","18.30","17.85","18.15","-0.1000","1749"
"1312","國喬","9139708","242556890","26.85","27.00","26.35","26.35","-0.5000","3585"
"1312A","國喬特","5000","172150","34.40","34.70","34.30","34.70","0.0000","5"
"1313","聯成","5133434","123487353","24.50","24.55","23.80","23.80","-0.6500","2484"
"1314","中石化","17149957","208649076","12.35","12.40","12.05","12.15","-0.2000","4176"
"1315","達新","5899","361082","61.20","61.40","61.20","61.30","0.1000","16"
"1316","上曜","10766426","161553620","14.50","15.30","14.50","15.10","0.6000","2846"
"1319","東陽","640988","21845687","34.50","34.50","33.95","34.05","-0.5000","420"
"1321","大洋","432100","14724119","34.45","34.80","33.75","33.80","-1.1000","304"
"1323","永裕","132390","4595454","34.80","35.00","34.45","35.00","0.3000","109"
"1324","地球","60000","666050","11.10","11.15","11.05","11.10","-0.1000","28"
"1325","恆大","348591","13934781","40.20","40.60","39.60","39.90","-0.3000","263"
"1326","台化","4643574","377887923","82.20","82.20","81.20","81.20","-1.0000","2673"
"1337","再生-KY","487796","3627550","7.53","7.53","7.40","7.40","-0.0300","240"
"1338","廣華-KY","450444","21782515","48.45","48.95","47.95","48.25","-0.2000","278"
"1339","昭輝","34082","1166364","34.35","34.35","34.10","34.10","-0.2000","54"
"1340","勝悅-KY","91967","948763","10.30","10.40","10.30","10.35","-0.0500","160"
"1341","富林-KY","21003","1424901","67.80","68.00","67.70","68.00","0.5000","19"
"1342","八貫","59014","3118985","52.80","53.70","52.10","52.50","0.6000","43"
"1402","遠東新","14042408","413879476","30.10","30.10","29.20","29.40","-0.7000","4683"
"1409","新纖","3962190","74782336","19.15","19.20","18.75","18.80","-0.2500","1633"
