證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","7590841","965724465","127.25","127.50","126.90","127.25","-0.6000","17688"
"0051","元大中型100","127065","8850461","69.90","70.25","68.60","69.80","-0.1500","329"
"0052","富邦科技","484902","56470382","116.50","116.85","115.75","116.45","-0.5500","442"
"0053","元大電子","8497","573189","67.45","67.75","67.30","67.70","0.2000","987"
"0055","元大MSCI金融","312728","7528574","24.10","24.17","24.00","24.02","-0.0800","349"
"0056","元大高股息","64508107","2231660158","34.40","35.04","34.17","34.74","0.2300","27459"
"0057","富邦摩台","9120","856096","93.95","94.10","93.90","94.10","-0.3500","989"
"0061","元大寶滬深","445066","8622666","19.18","19.47","19.18","19.36","0.4100","1077"
"006203","元大MSCI台灣","2203","135921","62.10","62.10","62.10","62.10","-0.2500","981"
"006204","永豐臺灣加權","23894","2090786","87.30","87.65","87.30","87.55","-0.1500","961"
"006205","富邦上証","1032820","33594664","32.12","32.73","32.12","32.59","0.7600","390"
"006206","元大上證50","268444","8314203","30.53","31.23","30.53","31.06","0.7400","1014"
"006207","復華滬深","137470","3510525","25.50","25.66","25.35","25.54","0.5800","36"
"006208","富邦台50","6122227","450503225","73.65","73.75","73.35","73.60","-0.4000","10779"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","4361477","590155131","135.05","136.35","134.40","135.75","-0.2000","3964"
"00632R","元大台灣50反1","163800325","786488356","4.80","4.82","4.78","4.80","0.0000","4767"
"00633L","富邦上証正2","9269892","382476143","41.05","41.76","40.75","41.43","1.5900","2175"
"00634R","富邦上証反1","1176070","5075177","4.38","4.38","4.29","4.32","-0.0600","64"
"00635U","期元大S&P黃金","278749","6723758","24.16","24.16","24.10","24.11","-0.1700","145"
"00636","國泰中國A50","1777417","39357158","22.15","22.31","22.00","22.20","0.4900","1208"
"00636K","國泰中國A50+U","200","1394","6.97","6.97","6.97","6.97","0.1100","2"
"00637L","元大滬深300正2","92775332","1521224324","16.13","16.59","16.13","16.48","0.6500","10512"
"00638R","元大滬深300反1","566200","5184394","9.29","9.29","9.09","9.15","-0.1600","95"
"00639","富邦深100","757862","9687176","12.61","12.85","12.61","12.82","0.3000","215"
"00640L","富邦日本正2","2996924","116569685","39.18","39.18","38.65","38.93","-1.0000","744"
"00641R","富邦日本反1","1643824","13238267","8.02","8.08","8.00","8.04","0.0700","174"
"00642U","期元大S&P石油","4503530","78130184","17.42","17.42","17.31","17.34","-0.0700","961"
"00643","群益深証中小","881524","12718718","14.30","14.56","14.30","14.47","0.2300","970"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","3017644","93082953","31.01","31.02","30.73","30.87","-0.3900","766"
"00646","元大S&P500","501400","22299407","44.49","44.54","44.34","44.50","-0.3000","722"
"00647L","元大S&P500正2","88381","5838003","66.00","66.15","65.95","66.15","-1.1000","86"
"00648R","元大S&P500反1","4469285","29170124","6.52","6.54","6.51","6.52","0.0500","209"
"00650L","復華香港正2","13425352","175472218","13.12","13.32","12.86","13.04","0.0900","1650"
"00651R","復華香港反1","934001","7751668","8.30","8.39","8.23","8.34","0.0000","87"
"00652","富邦印度","559783","18195234","32.66","32.66","32.41","32.57","-0.0900","1154"
"00653L","富邦印度正2","691041","33571779","48.69","48.77","48.41","48.67","-0.5300","164"
"00654R","富邦印度反1","322160","2433640","7.55","7.56","7.53","7.55","0.0600","84"
"00655L","國泰中國A50正2","4628049","133127154","28.55","29.12","28.36","28.85","1.0700","929"
"00656R","國泰中國A50反1","673000","5470530","8.16","8.19","8.10","8.12","-0.1700","42"
"00657","國泰日經225","475418","18183196","38.42","38.42","38.14","38.21","-0.5700","805"
"00657K","國泰日經225+U","200","2414","12.07","12.07","12.07","12.07","-0.2400","2"
"00660","元大歐洲50","4397","137828","31.44","31.44","31.44","31.44","-0.7300","999"
"00661","元大日經225","1686225","69295258","41.30","41.30","41.01","41.08","-0.6100","557"
"00662","富邦NASDAQ","1292281","81262709","63.00","63.00","62.75","62.90","-0.6500","1021"
