"111年02月22日 三大法人買賣超日報"
"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00632R","元大台灣50反1   ","625,000","8,696,000","-8,071,000","0","0","0","0","0","0","109,657,422","10,000,000","11,297,000","-1,297,000","138,935,422","27,981,000","110,954,422","101,586,422",
="00715L","期街口布蘭特正2 ","16,538,500","3,464,000","13,074,500","0","0","0","0","0","0","12,096,000","0","0","0","16,714,000","4,618,000","12,096,000","25,170,500",
="00671R","富邦NASDAQ反1   ","11,464,000","2,007,000","9,457,000","0","0","0","0","0","0","10,710,129","0","200,000","-200,000","18,744,000","7,833,871","10,910,129","20,167,129",
="00648R","元大S&P500反1   ","2,245,000","521,000","1,724,000","0","0","0","0","0","0","10,453,015","0","0","0","12,902,285","2,449,270","10,453,015","12,177,015",
"2344","華邦電          ","27,901,000","17,726,050","10,174,950","0","0","0","3,117,000","0","3,117,000","-2,347,631","390,449","1,813,820","-1,423,371","80,000","1,004,260","-924,260","10,944,319",
"2313","華通            ","14,037,002","3,215,028","10,821,974","0","0","0","2,000","0","2,000","-329,727","373,951","1,074,000","-700,049","670,300","299,978","370,322","10,494,247",
="00642U","期元大S&P石油   ","1,032,000","175,000","857,000","0","0","0","0","0","0","8,504,484","0","0","0","9,823,815","1,319,331","8,504,484","9,361,484",
"2337","旺宏            ","12,201,000","4,759,244","7,441,756","0","0","0","1,359,000","0","1,359,000","-509,050","133,189","432,000","-298,811","319,761","530,000","-210,239","8,291,706",
"2371","大同            ","12,682,001","5,969,403","6,712,598","0","0","0","0","0","0","-161,000","2,000","163,000","-161,000","0","0","0","6,551,598",
"2603","長榮            ","34,879,221","28,373,495","6,505,726","0","0","0","1,868,000","0","1,868,000","-2,468,093","3,866,895","4,721,000","-854,105","892,396","2,506,384","-1,613,988","5,905,633",
="042569","台積電元富18購01","0","0","0","0","0","0","0","0","0","5,360,000","0","0","0","5,603,000","243,000","5,360,000","5,360,000",
"2607","榮運            ","15,291,000","10,438,000","4,853,000","0","0","0","0","0","0","-64,997","9,000","65,003","-56,003","303,300","312,294","-8,994","4,788,003",
"6251","定穎            ","10,647,000","6,198,000","4,449,000","0","0","0","183,000","0","183,000","28,027","107,497","79,470","28,027","0","0","0","4,660,027",
"1605","華新            ","9,321,000","6,752,867","2,568,133","0","0","0","9,000","0","9,000","1,778,117","383,858","297,591","86,267","1,820,850","129,000","1,691,850","4,355,250",
="03030P","臺股指元大16售06","0","2,000","-2,000","0","0","0","0","0","0","4,270,000","0","0","0","8,337,000","4,067,000","4,270,000","4,268,000",
="051184","新光鋼元大15購02","0","0","0","0","0","0","0","0","0","4,141,000","0","0","0","4,439,000","298,000","4,141,000","4,141,000",
"4960","誠美材          ","4,923,000","1,071,000","3,852,000","0","0","0","0","0","0","-18,000","1,000","19,000","-18,000","0","0","0","3,834,000",
="050201","長榮國票15購10  ","0","0","0","0","0","0","0","0","0","3,753,000","0","0","0","6,264,000","2,511,000","3,753,000","3,753,000",
"2542","興富發          ","5,415,000","1,136,825","4,278,175","0","0","0","7,000","0","7,000","-622,555","200,510","993,000","-792,490","392,000","222,065","169,935","3,662,620",
="00676R","富邦臺灣加權反1 ","0","0","0","0","0","0","0","0","0","3,603,829","0","0","0","5,755,829","2,152,000","3,603,829","3,603,829",
="043645","台積電元大18購02","0","0","0","0","0","0","0","0","0","3,494,000","0","0","0","4,074,000","580,000","3,494,000","3,494,000",
="060466","長榮元富17購09  ","0","0","0","0","0","0","0","0","0","3,470,000","0","0","0","3,500,000","30,000","3,470,000","3,470,000",
="03049P","長榮航元大15售07","0","0","0","0","0","0","0","0","0","3,412,000","0","0","0","5,070,000","1,658,000","3,412,000","3,412,000",
"2324","仁寶            ","5,400,000","5,930,000","-530,000","0","0","0","3,772,000","0","3,772,000","167,940","350,000","248,000","102,000","78,000","12,060","65,940","3,409,940",
="00664R","國泰臺灣加權反1 ","0","41,000","-41,000","0","0","0","0","0","0","3,444,702","0","0","0","5,489,000","2,044,298","3,444,702","3,403,702",
="061055","陽明統一1A購05  ","0","0","0","0","0","0","0","0","0","3,386,000","0","0","0","4,242,000","856,000","3,386,000","3,386,000",
="060866","陽明中信17購01  ","0","0","0","0","0","0","0","0","0","3,237,000","0","0","0","4,304,000","1,067,000","3,237,000","3,237,000",
"2340","台亞            ","4,881,032","1,313,000","3,568,032","0","0","0","30,000","0","30,000","-402,159","56,000","159,000","-103,000","60,090","359,249","-299,159","3,195,873",
"2637","慧洋-KY         ","5,495,000","2,091,062","3,403,938","0","0","0","0","0","0","-264,815","11,880","314,000","-302,120","93,305","56,000","37,305","3,139,123",
="08208P","臺股指麥證16售01","0","0","0","2,767,000","170,000","2,597,000","0","0","0","2,597,000","0","0","0","2,767,000","170,000","2,597,000","2,597,000",
="061943","陽明元大17購10  ","0","0","0","0","0","0","0","0","0","2,537,000","0","0","0","3,985,000","1,448,000","2,537,000","2,537,000",
="056969","長榮元大19購09  ","0","0","0","0","0","0","0","0","0","2,517,000","0","0","0","2,650,000","133,000","2,517,000","2,517,000",
="052062","陽明統一1B購01  ","0","0","0","0","0","0","0","0","0","2,485,000","0","0","0","2,537,000","52,000","2,485,000","2,485,000",
="051049","偉詮電永豐15購01","0","0","0","0","0","0","0","0","0","2,454,000","0","0","0","2,467,000","13,000","2,454,000","2,454,000",
="052996","長榮航凱基15購10","0","0","0","0","0","0","0","0","0","2,371,000","0","0","0","2,371,000","0","2,371,000","2,371,000",
="060467","長榮元富17購10  ","0","0","0","0","0","0","0","0","0","2,365,000","0","0","0","2,494,000","129,000","2,365,000","2,365,000",
="049144","光寶科統一14購01","0","0","0","0","0","0","0","0","0","2,260,000","0","0","0","2,260,000","0","2,260,000","2,260,000",
="049315","長榮國票15購01  ","0","0","0","0","0","0","0","0","0","2,218,000","0","0","0","2,283,000","65,000","2,218,000","2,218,000",
="049250","台積電元大16購09","0","0","0","0","0","0","0","0","0","2,069,000","0","0","0","3,134,000","1,065,000","2,069,000","2,069,000",
="033902","聯發科統一15購07","0","0","0","0","0","0","0","0","0","2,039,000","0","0","0","2,750,000","711,000","2,039,000","2,039,000",
="044842","聯電元大19購02  ","0","0","0","0","0","0","0","0","0","2,008,000","0","0","0","2,130,000","122,000","2,008,000","2,008,000",
="039676","台積電康和17購01","0","0","0","0","0","0","0","0","0","2,006,000","0","0","0","2,012,000","6,000","2,006,000","2,006,000",
