"111年02月22日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ",="00715L","期街口布蘭特正2 ","16,538,500","3,464,000","13,074,500","0","0","0","16,538,500","3,464,000","13,074,500",
" ","2313  ","華通            ","14,037,002","3,215,028","10,821,974","0","0","0","14,037,002","3,215,028","10,821,974",
" ","2344  ","華邦電          ","27,901,000","17,726,050","10,174,950","0","0","0","27,901,000","17,726,050","10,174,950",
" ",="00671R","富邦NASDAQ反1   ","11,464,000","2,007,000","9,457,000","0","0","0","11,464,000","2,007,000","9,457,000",
" ","2337  ","旺宏            ","12,201,000","4,759,244","7,441,756","0","0","0","12,201,000","4,759,244","7,441,756",
" ","2371  ","大同            ","12,682,001","5,969,403","6,712,598","0","0","0","12,682,001","5,969,403","6,712,598",
" ","2603  ","長榮            ","34,879,221","28,373,495","6,505,726","0","0","0","34,879,221","28,373,495","6,505,726",
" ","2607  ","榮運            ","15,291,000","10,438,000","4,853,000","0","0","0","15,291,000","10,438,000","4,853,000",
" ","6251  ","定穎            ","10,647,000","6,198,000","4,449,000","0","0","0","10,647,000","6,198,000","4,449,000",
" ","2542  ","興富發          ","5,415,000","1,136,825","4,278,175","0","0","0","5,415,000","1,136,825","4,278,175",
" ","4960  ","誠美材          ","4,923,000","1,071,000","3,852,000","0","0","0","4,923,000","1,071,000","3,852,000",
" ","2340  ","台亞            ","4,881,032","1,313,000","3,568,032","0","0","0","4,881,032","1,313,000","3,568,032",
" ","2637  ","慧洋-KY         ","5,495,000","2,091,062","3,403,938","0","0","0","5,495,000","2,091,062","3,403,938",
" ","2481  ","強茂            ","4,631,200","1,561,782","3,069,418","0","0","0","4,631,200","1,561,782","3,069,418",
" ","3231  ","緯創            ","12,773,000","10,058,000","2,715,000","0","0","0","12,773,000","10,058,000","2,715,000",
" ","1605  ","華新            ","9,321,000","6,752,867","2,568,133","0","0","0","9,321,000","6,752,867","2,568,133",
" ",="00648R","元大S&P500反1   ","2,245,000","521,000","1,724,000","0","0","0","2,245,000","521,000","1,724,000",
" ","2615  ","萬海            ","9,587,230","7,915,010","1,672,220","0","0","0","9,587,230","7,915,010","1,672,220",
" ","2368  ","金像電          ","4,324,000","2,755,165","1,568,835","0","0","0","4,324,000","2,755,165","1,568,835",
" ","3704  ","合勤控          ","2,020,000","674,000","1,346,000","0","0","0","2,020,000","674,000","1,346,000",
" ","1612  ","宏泰            ","1,499,000","286,000","1,213,000","0","0","0","1,499,000","286,000","1,213,000",
" ","3014  ","聯陽            ","1,538,000","359,000","1,179,000","0","0","0","1,538,000","359,000","1,179,000",
" ","1712  ","興農            ","2,268,050","1,107,000","1,161,050","0","0","0","2,268,050","1,107,000","1,161,050",
" ","1711  ","永光            ","1,984,000","848,000","1,136,000","0","0","0","1,984,000","848,000","1,136,000",
" ","8271  ","宇瞻            ","1,227,000","149,000","1,078,000","0","0","0","1,227,000","149,000","1,078,000",
" ",="00683L","期元大美元指正2 ","1,040,000","1,000","1,039,000","0","0","0","1,040,000","1,000","1,039,000",
" ","2355  ","敬鵬            ","1,960,000","926,690","1,033,310","0","0","0","1,960,000","926,690","1,033,310",
