證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","13731487","2710925011","196.55","199.00","196.00","196.85","0.0000","16165"
"0051","元大中型100","91102","7889326","86.50","86.90","86.40","86.40","-0.1000","189"
"0052","富邦科技","1091832","214919139","194.85","198.95","194.85","196.25","1.4000","1448"
"0053","元大電子","34267","3689889","108.00","108.60","107.10","107.65","0.5500","95"
"0055","元大MSCI金融","235091","6900699","29.40","29.51","29.25","29.27","-0.0500","341"
"0056","元大高股息","77999693","3218730570","41.44","41.44","41.18","41.30","0.0000","61878"
"0057","富邦摩台","16121","2335864","145.10","145.10","144.70","144.95","0.4000","130"
"0061","元大寶滬深","240018","4101375","16.93","17.15","16.93","17.10","0.0000","159"
"006203","元大MSCI台灣","8808","816156","92.20","93.10","92.10","92.55","0.0000","102"
"006204","永豐臺灣加權","18788","2258998","119.55","120.45","119.55","119.60","0.3500","103"
"006205","富邦上証","311843","9296814","29.81","29.88","29.69","29.85","0.0500","297"
"006206","元大上證50","100626","2871104","28.53","28.60","28.47","28.55","0.0500","159"
"006207","復華滬深","67509","1500449","22.21","22.28","22.21","22.25","0.0000","71"
"006208","富邦台50","17978783","2077792914","115.05","116.60","114.70","115.20","0.0000","22338"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","4034438","1103634882","271.00","277.00","270.30","272.00","2.5000","4694"
"00632R","元大台灣50反1","163910381","531539605","3.27","3.27","3.22","3.25","-0.0200","5036"
"00633L","富邦上証正2","3752470","128227367","34.02","34.33","33.98","34.14","-0.0100","525"
"00634R","富邦上証反1","117000","538580","4.62","4.62","4.60","4.61","0.0000","9"
"00635U","期元大S&P黃金","376839","10742070","28.44","28.57","28.44","28.55","0.2000","229"
"00636","國泰中國A50","1169422","24174016","20.53","20.85","20.53","20.78","-0.0300","268"
"00636K","國泰中國A50+U","200","1276","6.38","6.38","6.38","6.38","-0.0100","2"
"00637L","元大滬深300正2","27125405","372256585","13.69","13.80","13.64","13.71","-0.0100","2679"
"00638R","元大滬深300反1","123000","1189850","9.68","9.69","9.65","9.68","0.0000","24"
"00639","富邦深100","1170734","11949040","10.18","10.24","10.12","10.22","0.0400","328"
"00640L","富邦日本正2","625928","40334099","64.45","64.80","64.20","64.40","0.6500","228"
"00641R","富邦日本反1","581439","3525053","6.06","6.08","6.05","6.08","-0.0400","84"
"00642U","期元大S&P石油","804243","14814011","18.45","18.45","18.39","18.39","-0.1600","221"
"00643","群益深証中小","459263","5262614","11.39","11.52","11.39","11.51","0.0600","119"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","719943","29059833","40.36","40.43","40.28","40.29","0.1600","403"
"00646","元大S&P500","1642576","94362809","57.30","57.50","57.30","57.50","0.2000","1323"
"00647L","元大S&P500正2","57781","5488954","94.85","95.10","94.85","95.05","0.5000","47"
