"112年06月16日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","19,793.43","-","50.69","-0.26","",
"發行量加權股價指數","17,288.91","-","46.07","-0.27","",
"臺灣公司治理100指數","9,874.48","-","22.86","-0.23","",
"臺灣50指數","13,115.73","-","45.15","-0.34","",
"臺灣50權重上限30%指數","12,263.93","-","42.40","-0.34","",
"臺灣中型100指數","16,291.58","-","60.80","-0.37","",
"臺灣資訊科技指數","23,784.49","-","80.45","-0.34","",
"臺灣發達指數","10,682.13","-","12.66","-0.12","",
"臺灣高股息指數","7,612.78","-","5.92","-0.08","",
"臺灣就業99指數","10,922.22","-","23.38","-0.21","",
"臺灣高薪100指數","9,565.04","-","9.09","-0.09","",
"未含金融指數","15,048.13","-","31.41","-0.21","",
"未含電子指數","18,967.90","-","25.64","-0.13","",
"未含金融電子指數","16,003.56","+","18.35","0.11","",
"小型股300指數","9,712.45","+","2.19","0.02","",
"水泥窯製類指數","668.65","+","9.73","1.48","",
"塑膠化工類指數","879.40","+","0.99","0.11","",
"機電類指數","4,700.45","-","13.59","-0.29","",
"水泥類指數","174.71","+","1.15","0.66","",
"食品類指數","2,090.22","+","13.73","0.66","",
"塑膠類指數","251.21","-","0.72","-0.29","",
"紡織纖維類指數","604.51","+","1.67","0.28","",
"電機機械類指數","321.40","+","3.31","1.04","",
"電器電纜類指數","117.34","+","2.12","1.84","",
"化學生技醫療類指數","129.15","+","0.53","0.41","",
"化學類指數","149.09","+","0.72","0.49","",
"生技醫療類指數","76.45","+","0.26","0.34","",
"玻璃陶瓷類指數","55.74","+","3.72","7.15","",
"造紙類指數","375.81","-","2.78","-0.73","",
"鋼鐵類指數","145.48","+","0.59","0.41","",
"橡膠類指數","261.48","+","4.49","1.75","",
"汽車類指數","449.98","-","4.99","-1.10","",
"電子工業類指數","836.27","-","2.89","-0.34","",
"半導體類指數","394.59","-","1.43","-0.36","",
"電腦及週邊設備類指數","195.22","+","0.12","0.06","",
"光電類指數","37.06","-","0.10","-0.27","",
"通信網路類指數","143.97","-","1.14","-0.79","",
"電子零組件類指數","192.38","-","0.26","-0.13","",
"電子通路類指數","188.05","-","1.53","-0.81","",
"資訊服務類指數","181.32","+","0.75","0.42","",
"其他電子類指數","108.62","-","0.71","-0.65","",
"建材營造類指數","387.26","-","0.65","-0.17","",
"航運類指數","177.77","+","1.02","0.58","",
"觀光類指數","164.43","+","0.64","0.39","",
"金融保險類指數","1,628.92","-","11.90","-0.73","",
"貿易百貨類指數","290.29","-","2.97","-1.01","",
"油電燃氣類指數","115.85","-","0.66","-0.57","",
"其他類指數","378.99","-","1.29","-0.34","",
"臺指日報酬兩倍指數","37,079.34","-","198.14","-0.53","",
"臺指反向一倍指數","3,926.21","+","10.41","0.27","",
"電子類兩倍槓桿指數","37,859.90","-","262.58","-0.69","",
"電子類反向指數","3,379.94","+","11.60","0.34","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,314.36","+","50.96","1.20","",
"臺灣中小型公司治理指數","8,678.79","-","48.83","-0.56","",
"臺灣IPO指數","5,242.89","-","31.62","-0.60","",
"智慧中立指數","3,463.20","+","4.17","0.12","",
"臺灣5G指數","8,552.50","-","42.15","-0.49","",
"臺灣企業社會責任中小型指數","10,063.33","-","27.32","-0.27","",
"特選臺灣電動車代表指數","8,351.04","-","40.02","-0.48","",
"臺灣5G+通訊指數","6,724.96","-","28.34","-0.42","",
"臺灣全市場指數","5,888.44","-","16.44","-0.28","",
"臺灣全市場半導體指數","5,645.37","-","27.71","-0.49","",
"臺灣智慧移動與電動車指數","4,582.33","-","11.28","-0.25","",
"特選小資高價30指數","5,506.83","-","43.82","-0.79","",
"特選臺灣綠能及電動車指數","5,394.42","-","1.73","-0.03","",
"特選臺灣智能車供應鏈聯盟指數","5,038.22","-","21.45","-0.42","",
"臺灣全市場半導體精選30指數","4,527.15","-","18.13","-0.40","",
"特選臺灣高股息30指數","4,357.70","-","35.85","-0.82","",
"臺灣友善環境指數","5,287.73","-","13.94","-0.26","",
"台灣永續價值指數","4,907.09","-","20.80","-0.42","",
"特選臺灣IC設計指數","3,688.37","-","6.32","-0.17","",
"特選臺灣環境永續高股息指數","5,086.25","+","7.78","0.15","",
"臺灣友善環境50指數","4,414.08","-","15.40","-0.35","",
"特選臺灣IC設計產業代表指數","4,583.35","-","13.47","-0.29","",
"特選臺灣綠能指數","5,523.22","+","69.34","1.27","",
"特選臺灣智慧50指數","4,243.75","-","16.44","-0.39","",
"特選臺灣標竿PCB指數","4,183.41","+","0.29","0.01","",
"臺灣晶圓製造指數","5,122.91","-","14.77","-0.29","",
"臺灣精選高息指數","4,478.76","-","12.18","-0.27","",
"臺灣多因子優選高股息30指數","5,783.57","-","72.87","-1.24","",
"特選臺灣優利高填息30指數","5,686.52","+","12.72","0.22","",
"臺灣多因子優選成長30指數","6,535.13","-","62.79","-0.95","",
"特選臺灣科技優息指數","7,003.72","-","7.13","-0.10","",
"臺灣工業4.0指數","5,948.10","-","12.49","-0.21","",
"臺灣半導體收益指數","5,509.29","-","29.10","-0.53","",
"臺灣優選成長高股息指數","5,616.47","-","20.40","-0.36","",
"特選臺灣ESG低碳高息40指數","6,253.04","+","10.62","0.17","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","29,164.81","-","429.26","-1.45","",
"金融類日報酬反向一倍指數","4,662.55","+","33.57","0.73","",
"漲升股利150指數","8,908.59","-","1.57","-0.02","",
"藍籌30指數","8,172.02","-","45.27","-0.55","",
"工業菁英30指數","8,729.75","-","41.77","-0.48","",
"電子菁英30指數","9,355.21","-","49.17","-0.52","",
"低波動股利精選30指數","7,279.55","-","23.39","-0.32","",
"中小型A級動能50指數","19,928.03","+","164.12","0.83","",
"特選高息低波指數","8,226.05","-","44.14","-0.53","",
"臺灣永續指數","8,799.14","-","31.36","-0.36","",
"價值投資指數","6,675.15","-","31.33","-0.47","",
"存股雙十等權重指數","7,568.73","-","32.42","-0.43","",
"特選大蘋果指數","8,566.96","-","55.14","-0.64","",
"中小型300指數","10,214.44","-","23.07","-0.23","",
"臺灣500指數","8,891.46","-","24.13","-0.27","",
"臺灣勞工權益指數","7,957.41","-","31.98","-0.40","",
"微波高息精選20指數","7,173.75","-","32.76","-0.45","",
"特選世代行動通訊指數","6,874.18","-","91.47","-1.31","",
"智慧投資多因子30指數","5,582.70","-","8.92","-0.16","",
"臺股期貨指數","9,241.32","-","27.77","-0.30","",
"特選價值成長指數","7,501.26","+","9.57","0.13","",
