上櫃股票行情(含等價、零股、盤後、鉅額交易)
資料日期:112/07/17
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","元大富櫃50","19.33","-0.11 ","19.44","19.44","19.33","19.37","32,132","622,437","32","19.34","1","19.36","2","17,946,000","19.33","21.26","17.40"
"00679B","元大美債20年","31.37","+0.08","31.28","31.38","31.26","31.33","24,564,666","769,548,558","7,443","31.36","760","31.37","303","3,159,192,000","31.37","9999.95","0.01"
"00687B","國泰20年美債","32.87","+0.12","32.73","32.87","32.72","32.81","12,629,075","414,311,869","2,965","32.86","408","32.87","1017","1,025,287,000","32.62","9999.95","0.01"
"00694B","富邦美債1-3","39.06","+0.18","38.90","39.08","38.90","39.06","176,304","6,886,568","25","39.05","2","39.06","1","114,076,000","38.88","9999.95","0.01"
"00695B","富邦美債7-10","34.83","+0.09","34.70","34.85","34.70","34.82","263,429","9,172,695","35","34.82","2","34.83","19","22,686,000","34.69","9999.95","0.01"
"00696B","富邦美債20年","33.32","+0.11","33.21","33.34","33.20","33.30","4,998,761","166,452,997","516","33.31","284","33.32","85","764,681,000","33.09","9999.95","0.01"
"00697B","元大美債7-10","35.62","+0.04","35.61","35.62","35.54","35.60","374,965","13,350,157","56","35.62","118","35.63","6","15,212,000","35.62","9999.95","0.01"
"00718B","富邦中國政策債","19.94","-0.01 ","19.97","19.98","19.94","19.94","155,000","3,090,860","7","19.93","2","19.95","1","619,001,000","19.94","9999.95","0.01"
"00719B","元大美債1-3","30.85","+0.10","30.75","30.85","30.72","30.80","527,187","16,235,575","112","30.84","1","30.85","25","151,014,000","30.48","9999.95","0.01"
"00720B","元大投資級公司債","34.94","+0.06","34.80","34.94","34.79","34.88","24,683,244","860,864,893","6,214","34.94","169","34.95","381","2,219,109,000","34.46","9999.95","0.01"
"00721B","元大中國債3-5","44.83","0.00 ","44.84","44.86","44.72","44.83","53,509","2,398,646","7","44.74","2","44.83","1","4,622,000","44.83","9999.95","0.01"
"00722B","群益投資級電信債","37.58","+0.07","37.48","37.58","37.29","37.40","7,251,329","271,211,619","2,789","37.58","105","37.59","12","1,125,239,000","37.07","9999.95","0.01"
"00723B","群益投資級科技債","33.95","0.00 ","33.95","33.97","33.82","33.96","130,153","4,420,136","14","33.94","6","33.95","1","1,255,083,000","33.56","9999.95","0.01"
"00724B","群益投資級金融債","33.55","+0.05","33.50","33.55","33.44","33.48","4,040,571","135,291,184","419","33.54","10","33.55","132","2,732,275,000","33.12","9999.95","0.01"
"00725B","國泰投資級公司債","36.85","+0.05","36.79","36.85","36.70","36.78","6,275,232","230,824,486","1,893","36.84","59","36.85","213","2,171,706,000","36.43","9999.95","0.01"
"00726B","國泰5Y+新興債","34.06","+0.15","33.91","34.07","33.90","34.04","301,635","10,267,350","50","34.06","18","34.07","84","1,130,989,000","33.55","9999.95","0.01"
"00727B","國泰1-5Y非投等債","37.97","+0.15","37.85","37.97","37.82","37.89","241,816","9,162,110","29","37.96","4","37.97","50","98,689,000","37.49","9999.95","0.01"
"00734B","台新JPM新興債","15.87","+0.08","15.85","15.87","15.85","15.85","1,049,496","16,635,199","19","15.86","20","15.87","20","30,979,000","15.87","9999.95","0.01"
"00740B","富邦全球投等債","39.41","+0.04","39.37","39.43","39.28","39.33","4,785,320","188,209,397","261","39.41","104","39.42","102","1,121,971,000","38.95","9999.95","0.01"
"00741B","富邦全球非投等債","36.80","+0.15","36.73","36.84","36.65","36.79","113,666","4,181,434","25","36.84","1","36.85","11","11,128,000","36.32","9999.95","0.01"
"00744B","國泰中國政金債5+","43.07","+0.02","43.06","43.07","43.00","43.04","228,569","9,837,611","13","43.04","105","43.07","1","25,728,000","41.80","9999.95","0.01"
"00746B","富邦A級公司債","36.66","+0.04","36.63","36.68","36.62","36.62","181,499","6,646,926","42","36.64","2","36.66","97","1,987,464,000","36.26","9999.95","0.01"
"00749B","凱基新興債10+","32.49","+0.14","32.42","32.49","32.42","32.49","101,480","3,297,074","7","32.43","2","32.48","1","952,500,000","32.08","9999.95","0.01"
"00750B","凱基科技債10+","35.08","+0.08","34.94","35.08","34.94","35.05","102,000","3,575,020","4","34.95","2","35.02","1","125,500,000","34.69","9999.95","0.01"
"00751B","元大AAA至A公司債","34.78","+0.04","34.65","34.79","34.65","34.71","9,377,211","325,439,866","3,126","34.77","116","34.78","513","2,613,103,000","34.78","9999.95","0.01"
"00754B","群益AAA-AA公司債","37.14","-0.02 ","37.14","37.14","37.03","37.11","154,000","5,715,060","17","37.08","31","37.14","43","475,900,000","37.14","9999.95","0.01"
"00755B","群益投資級公用債","34.23","+0.09","34.17","34.26","34.11","34.22","135,485","4,636,938","87","34.21","19","34.24","2","168,730,000","34.23","9999.95","0.01"
"00756B","群益投等新興公債","33.35","+0.11","33.24","33.36","33.24","33.30","159,727","5,318,597","1,017","33.34","1","33.35","19","1,157,300,000","33.35","9999.95","0.01"
"00758B","復華能源債","51.85","+0.15","51.75","51.85","51.75","51.83","133,000","6,893,250","13","51.80","29","51.90","36","5,525,000","51.85","9999.95","0.01"
"00759B","復華製藥債","57.00","+0.10","56.95","57.00","56.95","56.99","122,000","6,952,900","3","56.95","49","57.05","52","47,525,000","57.00","9999.95","0.01"
"00760B","復華新興企業債","53.30","0.00 ","53.25","53.40","53.20","53.38","625,584","33,394,669","56","53.30","107","53.35","7","376,020,000","53.30","9999.95","0.01"
"00761B","國泰A級公司債","37.12","0.00 ","37.12","37.14","36.95","37.09","394,528","14,633,188","121","37.11","319","37.12","47","2,384,589,000","36.75","9999.95","0.01"
"00764B","群益25年美債","32.74","+0.12","32.64","32.76","32.62","32.68","2,568,877","83,963,375","569","32.74","5","32.75","145","809,000,000","32.74","9999.95","0.01"
"00768B","復華20年美債","56.00","+0.15","55.60","56.00","55.60","55.87","172,338","9,629,005","25","55.90","1","56.00","68","306,600,000","56.00","9999.95","0.01"
"00772B","中信高評級公司債","35.67","+0.06","35.56","35.68","35.48","35.57","10,179,612","362,136,146","3,393","35.66","163","35.67","74","2,986,790,000","35.54","9999.95","0.01"
"00773B","中信優先金融債","35.77","+0.08","35.67","35.79","35.60","35.71","3,677,923","131,332,502","711","35.77","71","35.79","261","2,207,790,000","35.63","9999.95","0.01"
"00777B","凱基AAA至A公司債","35.10","-0.01 ","35.03","35.10","35.03","35.09","112,000","3,930,430","4","35.03","6","35.07","1","1,329,650,000","35.10","9999.95","0.01"
"00778B","凱基金融債20+","35.15","+0.04","35.15","35.15","35.15","35.15","100,000","3,515,000","2","35.07","9","35.20","62","1,233,150,000","35.15","9999.95","0.01"
"00779B","凱基美債25+","33.00","0.00 ","32.88","33.00","32.88","33.00","102,000","3,365,880","4","32.95","9","33.07","1","786,150,000","33.00","9999.95","0.01"
"00780B","國泰A級金融債","35.58","+0.14","35.47","35.60","35.47","35.58","227,863","8,106,973","55","35.58","26","35.59","24","272,602,000","35.58","9999.95","0.01"
"00781B","國泰A級科技債","33.10","-0.11 ","33.07","33.11","33.07","33.10","129,000","4,270,060","9","33.08","2","33.10","39","3,836,000","33.10","9999.95","0.01"
"00782B","國泰A級公用債","32.94","+0.12","32.84","32.94","32.80","32.87","1,254,000","41,224,280","208","32.93","13","32.94","12","14,467,000","32.44","9999.95","0.01"
"00784B","富邦中國投等債","36.37","+0.10","36.25","36.38","36.25","36.37","101,000","3,673,750","5","36.28","2","36.38","10","2,993,000","36.20","9999.95","0.01"
"00785B","富邦金融投等債","34.66","+0.04","34.62","34.66","34.62","34.66","102,000","3,535,280","6","34.61","22","34.65","1","845,966,000","34.26","9999.95","0.01"
"00786B","元大10年IG銀行債","33.29","+0.10","33.21","33.34","33.20","33.26","98,740","3,283,736","27","33.31","2","33.34","61","13,066,000","33.29","9999.95","0.01"
"00787B","元大10年IG醫療債","34.83","+0.10","34.68","34.83","34.68","34.73","14,000","486,260","4","34.80","48","34.83","44","9,306,000","34.83","9999.95","0.01"
"00788B","元大10年IG電能債","32.00","+0.11","31.85","32.00","31.85","31.94","198,010","6,324,568","67","31.99","2","32.00","13","15,206,000","31.55","9999.95","0.01"
"00789B","復華公司債A3","52.60","-0.10 ","52.55","52.60","52.50","52.60","511,000","26,878,150","11","52.55","3","52.60","3","141,100,000","52.60","9999.95","0.01"
"00790B","復華次順位金融債","52.50","+0.10","52.50","52.50","52.50","52.50","100,000","5,250,000","2","52.20","9","52.65","9","2,100,000","52.50","9999.95","0.01"
"00791B","復華信用債1-5","53.50","+0.30","53.50","53.50","53.50","53.50","102,000","5,457,000","6","53.25","109","53.45","2","253,600,000","53.50","9999.95","0.01"
"00792B","群益A級公司債","33.61","+0.04","33.52","33.62","33.48","33.58","153,451","5,152,841","87","33.60","2","33.61","49","1,392,115,000","33.61","9999.95","0.01"
"00793B","群益AAA-A醫療債","33.27","-0.03 ","33.25","33.29","33.25","33.26","111,074","3,694,435","12","33.26","10","33.28","2","3,526,000","33.27","9999.95","0.01"
"00794B","群益7+中國政金債","39.36","+0.01","39.35","39.36","39.30","39.34","109,157","4,294,288","13","39.34","40","39.35","1","35,187,000","39.36","9999.95","0.01"
"00795B","中信美國公債20年","31.88","+0.05","31.82","31.91","31.78","31.86","6,641,475","211,577,716","992","31.87","584","31.88","44","549,098,000","31.88","9999.95","0.01"
"00799B","國泰A級醫療債","33.38","+0.16","33.31","33.38","33.31","33.37","103,020","3,437,664","6","33.35","4","33.37","1","5,036,000","33.38","9999.95","0.01"
"00831B","新光美債1-3","37.90","+0.30","37.90","37.90","37.90","37.90","2,000","75,800","2","37.78","10","37.98","10","14,100,000","37.90","9999.95","0.01"
"00834B","第一金金融債10+","33.84","+0.09","33.70","33.84","33.70","33.84","101,000","3,417,700","3","33.83","33","33.84","2","22,198,000","33.84","9999.95","0.01"
"00836B","永豐10年A公司債","30.83","-0.02 ","30.77","30.83","30.70","30.74","559,120","17,185,541","16","30.82","102","30.84","7","430,041,000","30.83","9999.95","0.01"
"00840B","凱基IG精選15+","31.92","-0.04 ","31.92","31.92","31.92","31.92","100,000","3,192,000","2","31.90","9","31.92","2","59,931,000","31.92","9999.95","0.01"
"00841B","凱基AAA-AA公司債","32.00","+0.02","31.77","32.00","31.77","31.97","118,000","3,772,320","8","31.93","9","31.98","1","70,940,000","32.00","9999.95","0.01"
"00842B","台新美元銀行債","32.31","0.00 ","32.24","32.33","32.24","32.29","204,000","6,588,050","17","32.29","1","32.33","15","9,267,000","32.31","9999.95","0.01"
"00844B","新光15年IG金融債","32.06","+0.01","31.94","32.06","31.90","31.92","61,000","1,947,210","8","32.01","5","32.08","33","286,175,000","32.06","9999.95","0.01"
"00845B","富邦新興投等債","31.86","+0.17","31.86","31.86","31.86","31.86","101,914","3,246,833","4","31.79","20","31.84","1","201,551,000","31.86","9999.95","0.01"
"00846B","富邦歐洲銀行債","33.41","+0.10","33.41","33.41","33.41","33.41","101,000","3,374,410","3","33.35","35","33.40","1","87,850,000","33.41","9999.95","0.01"
"00847B","中信美國市政債","27.79","+0.09","27.70","27.79","27.69","27.79","210,000","5,834,990","7","27.79","5","27.81","3","10,305,000","27.79","9999.95","0.01"
"00848B","中信新興亞洲債","34.38","+0.19","34.33","34.38","34.33","34.37","103,000","3,540,490","5","34.34","10","34.37","1","146,066,000","34.01","9999.95","0.01"
"00849B","中信EM主權債0-5","35.99","+0.18","35.84","36.00","35.84","35.98","105,258","3,786,883","10","35.96","20","35.98","1","525,106,000","35.69","9999.95","0.01"
"00853B","統一美債10年Aa-A","29.07","+0.02","29.05","29.10","29.00","29.06","1,408,798","40,944,598","201","29.07","38","29.08","29","102,634,000","29.07","9999.95","0.01"
"00856B","永豐1-3年美公債","37.35","+0.19","37.21","37.35","37.21","37.32","271,000","10,114,900","7","37.33","37","37.35","97","9,292,000","37.35","9999.95","0.01"
"00857B","永豐20年美公債","27.27","+0.07","27.16","27.28","27.16","27.23","1,041,735","28,365,447","222","27.26","190","27.27","11","65,268,000","27.27","9999.95","0.01"
"00858","永豐美國500大","28.52","+0.25","28.31","28.52","28.31","28.40","2,651,812","75,299,125","784","28.51","14","28.52","6","11,374,000","27.08","9999.95","0.01"
"00859B","群益0-1年美債","39.99","+0.27","39.94","39.99","39.94","39.99","107,000","4,278,580","4","39.98","10","40.00","1","24,511,000","39.99","9999.95","0.01"
"00860B","群益1-5Y投資級債","37.17","+0.13","37.04","37.17","37.04","37.17","104,881","3,897,976","6","37.16","17","37.18","12","3,171,000","37.17","9999.95","0.01"
"00862B","中信投資級公司債","31.93","-0.01 ","31.89","31.94","31.78","31.92","2,177,853","69,514,452","322","31.93","24","31.94","111","528,881,000","31.93","9999.95","0.01"
"00863B","中信全球電信債","32.24","-0.23 ","32.33","32.33","32.21","32.25","242,448","7,818,040","35","32.24","1","32.25","10","480,964,000","32.24","9999.95","0.01"
"00864B","中信美國公債0-1","41.90","+0.32","41.60","41.90","41.60","41.86","173,000","7,242,210","18","41.83","3","41.85","1","40,222,000","41.90","9999.95","0.01"
"00867B","新光A-BBB電信債","31.78","-0.09 ","31.71","31.78","31.71","31.77","250,000","7,941,640","6","31.79","1","31.80","50","487,650,000","31.78","9999.95","0.01"
"00870B","元大15年EM主權債","30.18","+0.08","30.12","30.18","30.12","30.13","43,000","1,295,530","4","30.17","21","30.20","2","456,151,000","29.83","9999.95","0.01"
