上櫃股票每日收盤行情(不含定價) 
產業類別:所有證券(不含權證、牛熊證) 
資料日期:113/07/22
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,成交股數  , 成交金額(元), 成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日漲停價 ,次日跌停價
"00679B","元大美債20年","30.42","+0.08","30.34","30.43","30.30","74,753,000","2,269,997,610","14,695","30.42","476","30.43","2,148","8,033,692,000","9,999.95","0.01"
"00687B","國泰20年美債","31.64","+0.05","31.59","31.67","31.53","61,753,000","1,951,186,510","9,471","31.64","872","31.65","155","5,629,287,000","9,999.95","0.01"
"00694B","富邦美債1-3","42.16","+0.15","42.01","42.17","42.01","209,000","8,799,730","32","42.13","3","42.15","2","196,076,000","9,999.95","0.01"
"00695B","富邦美債7-10","36.30","+0.16","36.10","36.30","36.09","391,000","14,159,100","55","36.28","1","36.30","88","35,186,000","9,999.95","0.01"
"00696B","富邦美債20年","32.44","+0.08","32.36","32.47","32.31","5,740,000","185,947,320","436","32.43","969","32.44","11","1,213,681,000","9,999.95","0.01"
"00697B","元大美債7-10","36.84","+0.11","36.70","36.85","36.69","552,000","20,302,100","124","36.84","31","36.85","84","36,712,000","9,999.95","0.01"
"00718B","富邦中國政策債","21.03","+0.05","20.97","21.05","20.97","129,000","2,712,670","8","21.03","1","21.04","13","435,501,000","9,999.95","0.01"
"00719B","元大美債1-3","32.11","+0.12","32.01","32.13","31.97","4,121,000","132,044,970","629","32.10","195","32.11","31","402,514,000","9,999.95","0.01"
"00720B","元大投資級公司債","35.89","+0.03","35.85","35.90","35.80","16,909,000","606,089,200","2,873","35.89","1,388","35.90","99","4,179,109,000","9,999.95","0.01"
"00721B","元大中國債3-5","47.61","-0.01","47.62","47.62","47.61","31,000","1,476,210","3","47.77","20","47.90","1","4,122,000","9,999.95","0.01"
"00722B","群益投資級電信債","39.56","+0.06","39.48","39.58","39.44","4,668,000","184,542,660","387","39.56","11","39.57","233","1,416,239,000","9,999.95","0.01"
"00723B","群益投資級科技債","34.77","+0.06","34.70","34.77","34.63","169,000","5,868,160","13","34.73","119","34.77","1","1,681,583,000","9,999.95","0.01"
"00724B","群益投資級金融債","35.82","+0.06","35.73","35.84","35.69","4,252,000","151,959,490","333","35.81","23","35.82","28","2,810,775,000","9,999.95","0.01"
"00725B","國泰投資級公司債","38.18","+0.06","38.12","38.19","38.05","8,571,000","326,658,020","1,821","38.18","4","38.19","168","2,961,206,000","9,999.95","0.01"
"00726B","國泰5Y+新興債","34.71","+0.06","34.65","34.72","34.63","209,000","7,249,670","49","34.70","88","34.71","1","1,161,489,000","9,999.95","0.01"
"00727B","國泰1-5Y非投等債","40.71","+0.07","40.65","40.75","40.64","265,000","10,786,520","21","40.71","30","40.73","2","95,689,000","9,999.95","0.01"
"00734B","台新JPM新興債","16.00","+0.02","15.97","16.02","15.97","507,000","8,120,000","26","16.00","1","16.01","3","32,479,000","9,999.95","0.01"
