上櫃股票行情(含等價、零股、盤後、鉅額交易)
資料日期:113/08/12
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","元大富櫃50","22.50","+0.28","22.23","22.52","22.23","22.44","61,366","1,376,852","46","22.40","27","22.57","2","15,446,000","22.50","24.75","20.25"
"00679B","元大美債20年","31.25","+0.26","31.16","31.27","31.12","31.22","125,041,601","3,903,802,936","20,132","31.25","875","31.26","473","8,536,192,000","31.25","9999.95","0.01"
"00687B","國泰20年美債","32.45","+0.29","32.40","32.49","32.35","32.43","77,898,360","2,525,968,374","13,091","32.44","364","32.45","1083","5,422,287,000","32.45","9999.95","0.01"
"00694B","富邦美債1-3","41.91","+0.05","41.87","41.95","41.84","41.89","529,757","22,192,486","113","41.91","27","41.92","13","179,576,000","41.91","9999.95","0.01"
"00695B","富邦美債7-10","36.61","+0.11","36.53","36.64","36.53","36.61","82,043","3,003,227","51","36.59","1","36.61","78","34,186,000","36.61","9999.95","0.01"
"00696B","富邦美債20年","33.23","+0.28","33.10","33.25","33.10","33.20","5,271,379","175,013,976","511","33.22","3","33.23","19","1,087,181,000","33.23","9999.95","0.01"
"00697B","元大美債7-10","37.21","+0.02","37.20","37.24","37.15","37.20","501,093","18,638,200","237","37.21","5","37.23","100","40,212,000","37.21","9999.95","0.01"
"00718B","富邦中國政策債","21.08","+0.01","20.93","21.08","20.93","20.99","40,094","841,713","15","21.04","1","21.08","15","389,501,000","21.08","9999.95","0.01"
"00719B","元大美債1-3","31.95","-0.02 ","31.95","31.98","31.87","31.93","5,657,605","180,634,451","871","31.95","3","31.96","86","400,514,000","31.95","9999.95","0.01"
"00720B","元大投資級公司債","35.92","+0.28","35.79","35.93","35.79","35.86","9,559,748","342,800,476","2,558","35.91","105","35.92","1221","4,103,109,000","35.92","9999.95","0.01"
"00721B","元大中國債3-5","48.11","0.00 ","48.11","48.11","48.11","48.11","30,272","1,456,522","8","48.05","20","48.10","5","3,622,000","48.11","9999.95","0.01"
"00722B","群益投資級電信債","39.55","+0.35","39.41","39.61","39.40","39.55","4,631,827","183,180,612","456","39.55","66","39.56","99","1,428,739,000","39.55","9999.95","0.01"
"00723B","群益投資級科技債","34.56","+0.25","34.50","34.56","34.48","34.50","450,128","15,530,852","14","34.53","4","34.55","22","1,668,083,000","34.56","9999.95","0.01"
"00724B","群益投資級金融債","35.78","+0.26","35.65","35.80","35.62","35.74","8,068,648","288,347,391","433","35.77","96","35.78","125","2,814,275,000","35.78","9999.95","0.01"
"00725B","國泰投資級公司債","38.17","+0.20","38.18","38.20","38.09","38.14","8,950,510","341,360,796","1,573","38.17","37","38.18","13","2,982,206,000","38.17","9999.95","0.01"
"00726B","國泰5Y+新興債","34.77","+0.05","34.70","34.80","34.70","34.77","302,578","10,519,630","67","34.77","2","34.79","58","1,161,489,000","34.77","9999.95","0.01"
"00727B","國泰1-5Y非投等債","40.33","+0.13","40.16","40.33","40.10","40.22","457,973","18,419,647","58","40.30","4","40.33","80","95,689,000","40.33","9999.95","0.01"
"00734B","台新JPM新興債","16.08","+0.06","16.07","16.09","16.07","16.07","1,242,002","19,961,672","91","16.07","10","16.09","70","31,979,000","16.08","9999.95","0.01"
"00740B","富邦全球投等債","41.35","+0.28","41.17","41.38","41.17","41.31","6,768,442","279,579,488","388","41.35","5","41.36","31","1,410,971,000","41.35","9999.95","0.01"
"00741B","富邦全球非投等債","39.25","+0.17","39.50","39.50","39.12","39.16","1,300,790","50,943,477","119","39.24","12","39.25","44","13,128,000","39.25","9999.95","0.01"
"00746B","富邦A級公司債","37.77","+0.33","37.47","37.82","37.47","37.72","2,479,011","93,515,180","122","37.77","16","37.78","11","2,366,464,000","37.77","9999.95","0.01"
"00749B","凱基新興債10+","32.90","+0.14","32.95","32.95","32.90","32.94","120,000","3,953,000","4","32.90","35","32.92","1","951,500,000","32.90","9999.95","0.01"
"00750B","凱基科技債10+","36.14","+0.27","36.14","36.14","36.14","36.14","100,038","3,615,368","3","36.08","33","36.13","1","126,000,000","36.14","9999.95","0.01"
"00751B","元大AAA至A公司債","35.30","+0.27","35.22","35.31","35.19","35.25","6,897,478","243,103,506","1,967","35.29","147","35.30","133","4,706,603,000","35.30","9999.95","0.01"
"00754B","群益AAA-AA公司債","37.68","+0.31","37.50","37.70","37.50","37.65","354,010","13,328,338","22","37.67","20","37.70","2","730,900,000","37.68","9999.95","0.01"
"00755B","群益投資級公用債","35.67","+0.22","35.57","35.67","35.56","35.65","166,121","5,921,419","95","35.66","1","35.69","20","252,230,000","35.67","9999.95","0.01"
"00756B","群益投等新興公債","34.20","+0.26","34.15","34.22","34.07","34.17","208,197","7,114,861","107","34.16","27","34.18","2","1,251,800,000","34.20","9999.95","0.01"
"00758B","復華能源債","54.70","+0.40","54.70","54.70","54.70","54.70","100,000","5,470,000","2","54.60","10","55.05","11","5,525,000","54.70","9999.95","0.01"
"00759B","復華製藥債","59.00","+0.45","59.00","59.00","59.00","59.00","100,000","5,900,000","2","58.90","31","58.95","1","48,025,000","59.00","9999.95","0.01"
"00760B","復華新興企業債","56.50","+0.25","56.45","56.55","56.45","56.52","158,959","8,984,999","30","56.50","51","56.55","1","403,020,000","56.50","9999.95","0.01"
"00761B","國泰A級公司債","38.06","+0.24","38.06","38.10","38.00","38.07","416,948","15,871,148","142","38.05","28","38.06","135","2,658,089,000","38.06","9999.95","0.01"
"00764B","群益25年美債","32.61","+0.28","32.54","32.62","32.49","32.58","15,035,014","489,871,178","698","32.60","7","32.61","732","1,236,000,000","32.61","9999.95","0.01"
