上櫃股票行情(不含鉅額交易)
資料日期:113/08/1515
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","元大富櫃50","23.87","+0.07","23.85","23.91","23.81","23.87","91,261","2,178,400","65","23.83","1","23.90","5","15,946,000","23.87","26.25","21.49"
"00679B","元大美債20年","31.19","-0.18 ","31.25","31.25","31.19","31.21","76,229,312","2,379,385,508","21,280","31.19","5024","31.20","166","9,212,692,000","31.19","9999.95","0.01"
"00687B","國泰20年美債","32.42","-0.19 ","32.45","32.48","32.41","32.43","88,656,661","2,875,300,134","24,445","32.42","1598","32.43","1231","7,433,787,000","32.42","9999.95","0.01"
"00694B","富邦美債1-3","41.88","+0.09","41.85","41.89","41.85","41.88","205,361","8,601,207","47","41.88","4","41.89","166","190,576,000","41.88","9999.95","0.01"
"00695B","富邦美債7-10","36.80","-0.04 ","36.85","36.85","36.80","36.81","1,612,180","59,344,973","57","36.80","3","36.81","15","35,186,000","36.80","9999.95","0.01"
"00696B","富邦美債20年","33.62","-0.16 ","33.63","33.63","33.60","33.62","4,434,700","149,077,518","921","33.61","22","33.62","225","1,007,181,000","33.62","9999.95","0.01"
"00697B","元大美債7-10","37.20","0.00 ","37.20","37.21","37.16","37.19","234,581","8,725,065","172","37.19","13","37.20","42","49,712,000","37.20","9999.95","0.01"
"00718B","富邦中國政策債","21.01","+0.05","20.99","21.01","20.99","21.01","113,001","2,374,060","7","21.02","1","21.03","5","389,001,000","21.01","9999.95","0.01"
"00719B","元大美債1-3","31.90","+0.09","31.87","31.91","31.86","31.89","2,331,114","74,334,705","418","31.90","86","31.91","477","498,014,000","31.90","9999.95","0.01"
"00720B","元大投資級公司債","37.23","-0.06 ","37.23","37.23","37.18","37.20","9,846,546","366,303,600","3,042","37.22","305","37.23","423","4,096,609,000","37.23","9999.95","0.01"
"00721B","元大中國債3-5","47.73","+0.17","47.64","47.73","47.64","47.68","66,414","3,166,743","22","47.73","20","47.85","1","3,122,000","47.73","9999.95","0.01"
"00722B","群益投資級電信債","40.78","-0.16 ","40.75","40.80","40.72","40.77","4,362,072","177,861,739","481","40.77","9","40.78","37","1,388,739,000","40.78","9999.95","0.01"
"00723B","群益投資級科技債","35.84","-0.08 ","35.79","35.84","35.79","35.83","197,362","7,072,031","19","35.82","154","35.84","19","1,588,083,000","35.84","9999.95","0.01"
"00724B","群益投資級金融債","36.99","0.00 ","36.94","36.99","36.91","36.97","10,040,684","371,182,905","403","36.98","4","36.99","105","2,741,775,000","36.99","9999.95","0.01"
"00725B","國泰投資級公司債","39.41","-0.04 ","39.34","39.41","39.33","39.39","3,986,081","156,995,686","1,252","39.40","66","39.41","31","2,971,706,000","39.41","9999.95","0.01"
"00726B","國泰5Y+新興債","35.60","+0.03","35.55","35.61","35.55","35.60","154,474","5,498,947","34","35.60","6","35.61","39","1,161,489,000","35.60","9999.95","0.01"
"00727B","國泰1-5Y非投等債","40.72","+0.06","40.66","40.73","40.66","40.72","122,931","5,005,276","19","40.67","31","40.68","1","95,189,000","40.72","9999.95","0.01"
"00734B","台新JPM新興債","16.38","0.00 ","16.33","16.38","16.33","16.38","500,883","8,204,246","14","16.36","176","16.39","15","30,979,000","16.38","9999.95","0.01"
"00740B","富邦全球投等債","42.21","-0.08 ","42.23","42.23","42.17","42.20","8,055,688","339,980,066","612","42.21","1","42.22","1","1,558,471,000","42.21","9999.95","0.01"
"00741B","富邦全球非投等債","39.15","+0.07","39.11","39.15","39.11","39.15","1,079,480","42,261,481","57","39.15","12","39.16","10","15,128,000","39.15","9999.95","0.01"
"00746B","富邦A級公司債","38.94","-0.01 ","38.90","38.94","38.90","38.93","1,997,125","77,739,434","96","38.92","75","38.94","20","2,070,964,000","38.94","9999.95","0.01"
"00749B","凱基新興債10+","33.80","-0.03 ","33.88","33.88","33.80","33.88","103,000","3,489,540","5","33.80","9","33.83","1","951,500,000","33.80","9999.95","0.01"
"00750B","凱基科技債10+","37.43","-0.01 ","37.42","37.43","37.42","37.42","101,000","3,779,430","3","37.35","34","37.38","1","126,000,000","37.43","9999.95","0.01"
"00751B","元大AAA至A公司債","36.13","-0.11 ","36.16","36.16","36.11","36.13","8,752,085","316,225,296","2,841","36.12","707","36.13","131","4,496,603,000","36.13","9999.95","0.01"
"00754B","群益AAA-AA公司債","38.72","-0.10 ","38.73","38.73","38.72","38.72","112,000","4,336,760","7","38.70","1","38.71","1","615,900,000","38.72","9999.95","0.01"
"00755B","群益投資級公用債","36.47","-0.08 ","36.44","36.49","36.44","36.48","147,772","5,390,222","83","36.46","96","36.49","2","203,230,000","36.47","9999.95","0.01"
"00756B","群益投等新興公債","34.74","-0.04 ","34.75","34.75","34.70","34.73","155,215","5,390,594","126","34.72","10","34.74","97","1,205,300,000","34.74","9999.95","0.01"
"00758B","復華能源債","55.85","0.00 ","55.85","55.85","55.85","55.85","100,000","5,585,000","2","55.60","29","55.85","10","5,525,000","55.85","9999.95","0.01"
"00759B","復華製藥債","60.50","-0.10 ","60.50","60.50","60.50","60.50","100,000","6,050,000","2","60.40","18","60.45","1","48,025,000","60.50","9999.95","0.01"
"00760B","復華新興企業債","57.50","0.00 ","57.50","57.65","57.45","57.59","116,239","6,694,072","26","57.50","17","57.55","1","370,020,000","57.50","9999.95","0.01"
"00761B","國泰A級公司債","38.82","-0.10 ","38.86","38.86","38.81","38.83","278,091","10,797,073","149","38.82","11","38.83","1","2,689,589,000","38.82","9999.95","0.01"
"00764B","群益25年美債","32.56","除息 ","32.70","32.72","32.53","32.57","20,789,995","677,028,182","1,130","32.56","572","32.57","10","1,431,000,000","32.56","9999.95","0.01"
"00768B","復華20年美債","58.75","-0.30 ","58.90","58.90","58.70","58.76","545,842","32,074,794","220","58.70","8","58.75","288","373,100,000","58.75","9999.95","0.01"
"00772B","中信高評級公司債","37.51","-0.05 ","37.50","37.52","37.43","37.50","8,788,062","329,553,146","1,296","37.50","670","37.51","52","3,444,290,000","37.51","9999.95","0.01"
"00773B","中信優先金融債","39.16","-0.03 ","39.17","39.18","39.08","39.15","3,996,951","156,474,882","335","39.16","105","39.17","19","2,403,790,000","39.16","9999.95","0.01"
"00777B","凱基AAA至A公司債","36.97","-0.07 ","36.97","36.97","36.97","36.97","100,386","3,711,310","6","36.92","4","36.94","1","1,695,650,000","36.97","9999.95","0.01"
"00778B","凱基金融債20+","38.64","-0.03 ","38.64","38.64","38.64","38.64","101,000","3,902,640","3","38.58","2","38.65","30","1,501,150,000","38.64","9999.95","0.01"
"00779B","凱基美債25+","32.83","-0.17 ","32.89","32.89","32.80","32.82","2,703,600","88,729,050","141","32.83","103","32.85","12","1,034,150,000","32.83","9999.95","0.01"
