"00679B" "元大美債20年" "31.37" "+0.08" "31.28" "31.38" "31.26" "31.33" "24564666" "769548558" "7443" "31.36" "760" "31.37" "303" "3159192000" "31.37" "9999.95" "0.01"
"00687B" "國泰20年美債" "32.87" "+0.12" "32.73" "32.87" "32.72" "32.81" "12629075" "414311869" "2965" "32.86" "408" "32.87" "1017" "1025287000" "32.62" "9999.95" "0.01"
"00694B" "富邦美債1-3" "39.06" "+0.18" "38.90" "39.08" "38.90" "39.06" "176304" "6886568" "25" "39.05" "2" "39.06" "1" "114076000" "38.88" "9999.95" "0.01"
"00695B" "富邦美債7-10" "34.83" "+0.09" "34.70" "34.85" "34.70" "34.82" "263429" "9172695" "35" "34.82" "2" "34.83" "19" "22686000" "34.69" "9999.95" "0.01"
"00696B" "富邦美債20年" "33.32" "+0.11" "33.21" "33.34" "33.20" "33.30" "4998761" "166452997" "516" "33.31" "284" "33.32" "85" "764681000" "33.09" "9999.95" "0.01"
"00697B" "元大美債7-10" "35.62" "+0.04" "35.61" "35.62" "35.54" "35.60" "374965" "13350157" "56" "35.62" "118" "35.63" "6" "15212000" "35.62" "9999.95" "0.01"
"00718B" "富邦中國政策債" "19.94" "-0.01 " "19.97" "19.98" "19.94" "19.94" "155000" "3090860" "7" "19.93" "2" "19.95" "1" "619001000" "19.94" "9999.95" "0.01"
"00719B" "元大美債1-3" "30.85" "+0.10" "30.75" "30.85" "30.72" "30.80" "527187" "16235575" "112" "30.84" "1" "30.85" "25" "151014000" "30.48" "9999.95" "0.01"
"00720B" "元大投資級公司債" "34.94" "+0.06" "34.80" "34.94" "34.79" "34.88" "24683244" "860864893" "6214" "34.94" "169" "34.95" "381" "2219109000" "34.46" "9999.95" "0.01"
"00721B" "元大中國債3-5" "44.83" "0.00 " "44.84" "44.86" "44.72" "44.83" "53509" "2398646" "7" "44.74" "2" "44.83" "1" "4622000" "44.83" "9999.95" "0.01"
"00722B" "群益投資級電信債" "37.58" "+0.07" "37.48" "37.58" "37.29" "37.40" "7251329" "271211619" "2789" "37.58" "105" "37.59" "12" "1125239000" "37.07" "9999.95" "0.01"
"00723B" "群益投資級科技債" "33.95" "0.00 " "33.95" "33.97" "33.82" "33.96" "130153" "4420136" "14" "33.94" "6" "33.95" "1" "1255083000" "33.56" "9999.95" "0.01"
"00724B" "群益投資級金融債" "33.55" "+0.05" "33.50" "33.55" "33.44" "33.48" "4040571" "135291184" "419" "33.54" "10" "33.55" "132" "2732275000" "33.12" "9999.95" "0.01"
"00725B" "國泰投資級公司債" "36.85" "+0.05" "36.79" "36.85" "36.70" "36.78" "6275232" "230824486" "1893" "36.84" "59" "36.85" "213" "2171706000" "36.43" "9999.95" "0.01"
"00726B" "國泰5Y+新興債" "34.06" "+0.15" "33.91" "34.07" "33.90" "34.04" "301635" "10267350" "50" "34.06" "18" "34.07" "84" "1130989000" "33.55" "9999.95" "0.01"
"00727B" "國泰1-5Y非投等債" "37.97" "+0.15" "37.85" "37.97" "37.82" "37.89" "241816" "9162110" "29" "37.96" "4" "37.97" "50" "98689000" "37.49" "9999.95" "0.01"
"00734B" "台新JPM新興債" "15.87" "+0.08" "15.85" "15.87" "15.85" "15.85" "1049496" "16635199" "19" "15.86" "20" "15.87" "20" "30979000" "15.87" "9999.95" "0.01"
"00740B" "富邦全球投等債" "39.41" "+0.04" "39.37" "39.43" "39.28" "39.33" "4785320" "188209397" "261" "39.41" "104" "39.42" "102" "1121971000" "38.95" "9999.95" "0.01"
"00741B" "富邦全球非投等債" "36.80" "+0.15" "36.73" "36.84" "36.65" "36.79" "113666" "4181434" "25" "36.84" "1" "36.85" "11" "11128000" "36.32" "9999.95" "0.01"
"00744B" "國泰中國政金債5+" "43.07" "+0.02" "43.06" "43.07" "43.00" "43.04" "228569" "9837611" "13" "43.04" "105" "43.07" "1" "25728000" "41.80" "9999.95" "0.01"
"00746B" "富邦A級公司債" "36.66" "+0.04" "36.63" "36.68" "36.62" "36.62" "181499" "6646926" "42" "36.64" "2" "36.66" "97" "1987464000" "36.26" "9999.95" "0.01"
"00749B" "凱基新興債10+" "32.49" "+0.14" "32.42" "32.49" "32.42" "32.49" "101480" "3297074" "7" "32.43" "2" "32.48" "1" "952500000" "32.08" "9999.95" "0.01"
"00750B" "凱基科技債10+" "35.08" "+0.08" "34.94" "35.08" "34.94" "35.05" "102000" "3575020" "4" "34.95" "2" "35.02" "1" "125500000" "34.69" "9999.95" "0.01"
"00751B" "元大AAA至A公司債" "34.78" "+0.04" "34.65" "34.79" "34.65" "34.71" "9377211" "325439866" "3126" "34.77" "116" "34.78" "513" "2613103000" "34.78" "9999.95" "0.01"
"00754B" "群益AAA-AA公司債" "37.14" "-0.02 " "37.14" "37.14" "37.03" "37.11" "154000" "5715060" "17" "37.08" "31" "37.14" "43" "475900000" "37.14" "9999.95" "0.01"
"00755B" "群益投資級公用債" "34.23" "+0.09" "34.17" "34.26" "34.11" "34.22" "135485" "4636938" "87" "34.21" "19" "34.24" "2" "168730000" "34.23" "9999.95" "0.01"
"00756B" "群益投等新興公債" "33.35" "+0.11" "33.24" "33.36" "33.24" "33.30" "159727" "5318597" "1017" "33.34" "1" "33.35" "19" "1157300000" "33.35" "9999.95" "0.01"
"00758B" "復華能源債" "51.85" "+0.15" "51.75" "51.85" "51.75" "51.83" "133000" "6893250" "13" "51.80" "29" "51.90" "36" "5525000" "51.85" "9999.95" "0.01"
"00759B" "復華製藥債" "57.00" "+0.10" "56.95" "57.00" "56.95" "56.99" "122000" "6952900" "3" "56.95" "49" "57.05" "52" "47525000" "57.00" "9999.95" "0.01"
"00760B" "復華新興企業債" "53.30" "0.00 " "53.25" "53.40" "53.20" "53.38" "625584" "33394669" "56" "53.30" "107" "53.35" "7" "376020000" "53.30" "9999.95" "0.01"
"00761B" "國泰A級公司債" "37.12" "0.00 " "37.12" "37.14" "36.95" "37.09" "394528" "14633188" "121" "37.11" "319" "37.12" "47" "2384589000" "36.75" "9999.95" "0.01"
"00764B" "群益25年美債" "32.74" "+0.12" "32.64" "32.76" "32.62" "32.68" "2568877" "83963375" "569" "32.74" "5" "32.75" "145" "809000000" "32.74" "9999.95" "0.01"
"00768B" "復華20年美債" "56.00" "+0.15" "55.60" "56.00" "55.60" "55.87" "172338" "9629005" "25" "55.90" "1" "56.00" "68" "306600000" "56.00" "9999.95" "0.01"
"00772B" "中信高評級公司債" "35.67" "+0.06" "35.56" "35.68" "35.48" "35.57" "10179612" "362136146" "3393" "35.66" "163" "35.67" "74" "2986790000" "35.54" "9999.95" "0.01"
