"00679B" "元大美債20年" "32.85" "+0.21" "32.81" "32.88" "32.75" "32.85" "17560054" "576798187" "5881" "32.84" "312" "32.85" "165" "2499692000" "32.85" "9999.95" "0.01"
"00687B" "國泰20年美債" "33.60" "+0.41" "33.51" "33.62" "33.49" "33.58" "15200488" "510489649" "2569" "33.60" "249" "33.61" "256" "632287000" "33.60" "9999.95" "0.01"
"00694B" "富邦美債1-3" "39.02" "+0.09" "39.04" "39.04" "39.00" "39.03" "203556" "7944592" "12" "38.99" "100" "39.00" "2" "108576000" "39.02" "9999.95" "0.01"
"00695B" "富邦美債7-10" "35.65" "+0.25" "35.62" "35.65" "35.62" "35.64" "166404" "5930064" "21" "35.62" "3" "35.63" "1" "22186000" "35.65" "9999.95" "0.01"
"00696B" "富邦美債20年" "34.08" "+0.42" "33.96" "34.11" "33.96" "34.07" "2268856" "77304349" "341" "34.08" "11" "34.09" "104" "681681000" "34.08" "9999.95" "0.01"
"00697B" "元大美債7-10" "36.80" "+0.21" "36.77" "36.85" "36.77" "36.81" "171218" "6303365" "44" "36.80" "10" "36.81" "2" "13712000" "36.80" "9999.95" "0.01"
"00718B" "富邦中國政策債" "20.20" "-0.01 " "20.19" "20.21" "20.17" "20.20" "159039" "3212425" "12" "20.19" "1" "20.21" "10" "620001000" "20.20" "9999.95" "0.01"
"00719B" "元大美債1-3" "30.81" "+0.05" "30.79" "30.84" "30.79" "30.81" "145273" "4476493" "57" "30.81" "19" "30.82" "1" "156514000" "30.81" "9999.95" "0.01"
"00720B" "元大投資級公司債" "34.42" "+0.29" "34.35" "34.44" "34.34" "34.42" "12372648" "425901235" "3983" "34.42" "222" "34.43" "364" "1918109000" "34.42" "9999.95" "0.01"
"00721B" "元大中國債3-5" "45.77" "+0.10" "45.76" "45.79" "45.76" "45.77" "57042" "2610783" "6" "45.73" "11" "45.81" "21" "4622000" "45.77" "9999.95" "0.01"
"00722B" "群益15年IG電信債" "37.50" "+0.38" "37.44" "37.56" "37.44" "37.53" "1144192" "42938043" "1020" "37.49" "2" "37.50" "5" "1060739000" "37.50" "9999.95" "0.01"
"00723B" "群益15年IG科技債" "33.68" "+0.40" "33.64" "33.69" "33.64" "33.68" "192000" "6466530" "19" "33.66" "100" "33.69" "2" "1253583000" "33.68" "9999.95" "0.01"
"00724B" "群益10年IG金融債" "33.17" "+0.25" "33.08" "33.22" "33.08" "33.16" "2226712" "73844272" "329" "33.17" "61" "33.19" "24" "2529775000" "33.17" "9999.95" "0.01"
"00725B" "國泰投資級公司債" "36.30" "+0.28" "36.23" "36.35" "36.23" "36.32" "4571939" "166042723" "771" "36.30" "547" "36.31" "214" "1939706000" "36.30" "9999.95" "0.01"
