"111年02月25日 三大法人買賣超日報"
"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00632R","元大台灣50反1   ","3,969,000","33,654,000","-29,685,000","0","0","0","0","0","0","137,569,307","2,500,000","2,200,000","300,000","155,861,000","18,591,693","137,269,307","107,884,307",
"2027","大成鋼          ","15,154,000","6,715,185","8,438,815","0","0","0","534,000","0","534,000","2,435,429","1,670,111","928,682","741,429","1,781,000","87,000","1,694,000","11,408,244",
="050467","長榮統一1B購01  ","0","0","0","0","0","0","0","0","0","11,339,000","0","0","0","11,725,000","386,000","11,339,000","11,339,000",
"2609","陽明            ","16,229,146","8,244,578","7,984,568","0","0","0","60,000","0","60,000","276,182","42,000","43,218","-1,218","576,400","299,000","277,400","8,320,750",
="00637L","元大滬深300正2  ","4,064,000","4,378,000","-314,000","0","0","0","0","0","0","8,483,803","0","271,000","-271,000","24,575,581","15,820,778","8,754,803","8,169,803",
="03788C","T50反1元大19牛07","0","0","0","0","0","0","0","0","0","7,399,000","0","0","0","7,840,000","441,000","7,399,000","7,399,000",
"8150","南茂            ","13,475,000","2,494,700","10,980,300","0","0","0","0","4,000,000","-4,000,000","271,100","235,000","156,000","79,000","238,100","46,000","192,100","7,251,400",
"2371","大同            ","8,339,000","1,279,000","7,060,000","0","0","0","0","0","0","-7,998","2","4,000","-3,998","1,000","5,000","-4,000","7,052,002",
="00715L","期街口布蘭特正2 ","4,800,000","6,257,000","-1,457,000","0","0","0","0","0","0","8,442,000","0","0","0","17,674,000","9,232,000","8,442,000","6,985,000",
="00664R","國泰臺灣加權反1 ","204,000","275,000","-71,000","0","0","0","0","0","0","6,910,917","0","0","0","8,379,000","1,468,083","6,910,917","6,839,917",
="00676R","富邦臺灣加權反1 ","0","0","0","0","0","0","0","0","0","6,620,308","0","0","0","8,184,308","1,564,000","6,620,308","6,620,308",
="055447","T50反1元大19購01","0","0","0","0","0","0","0","0","0","6,595,000","0","0","0","6,595,000","0","6,595,000","6,595,000",
="045940","聯陽國泰15購01  ","0","0","0","0","0","0","0","0","0","6,060,000","0","0","0","6,263,000","203,000","6,060,000","6,060,000",
="03766C","T50反1元大15牛01","0","0","0","0","0","0","0","0","0","5,759,000","0","0","0","5,959,000","200,000","5,759,000","5,759,000",
="00830","國泰費城半導體  ","8,303,500","343,100","7,960,400","0","0","0","0","0","0","-2,505,657","0","0","0","1,454,000","3,959,657","-2,505,657","5,454,743",
="03030P","臺股指元大16售06","0","0","0","0","0","0","0","0","0","5,103,000","0","0","0","6,726,000","1,623,000","5,103,000","5,103,000",
="042694","聯陽群益15購01  ","0","0","0","0","0","0","0","0","0","4,483,000","0","0","0","4,737,000","254,000","4,483,000","4,483,000",
"1795","美時            ","4,686,105","1,800,010","2,886,095","0","0","0","1,121,000","0","1,121,000","265,209","47,090","10,000","37,090","488,119","260,000","228,119","4,272,304",
"2337","旺宏            ","9,896,189","6,510,500","3,385,689","0","0","0","358,000","0","358,000","412,185","513,335","123,150","390,185","132,000","110,000","22,000","4,155,874",
="063510","富采富邦1A購01  ","0","0","0","0","0","0","0","0","0","3,956,000","0","0","0","4,191,000","235,000","3,956,000","3,956,000",
"3035","智原            ","9,096,000","6,039,480","3,056,520","0","0","0","1,017,500","59,000","958,500","-133,038","716,562","890,000","-173,438","40,400","0","40,400","3,881,982",
"2313","華通            ","5,843,000","4,078,000","1,765,000","0","0","0","1,397,000","0","1,397,000","178,943","1,083,023","1,046,000","37,023","304,100","162,180","141,920","3,340,943",
"3037","欣興            ","18,256,147","15,627,770","2,628,377","0","0","0","586,000","44,000","542,000","7,096","1,464,450","1,594,998","-130,548","301,564","163,920","137,644","3,177,473",
="00897","富邦基因免疫生技","4,224,000","520,000","3,704,000","0","0","0","0","0","0","-624,372","0","0","0","1,453,203","2,077,575","-624,372","3,079,628",
="032638","長榮統一16購01  ","0","0","0","0","0","0","0","0","0","3,076,000","0","0","0","4,700,000","1,624,000","3,076,000","3,076,000",
"2031","新光鋼          ","3,434,000","786,000","2,648,000","0","0","0","40,000","0","40,000","381,180","18,180","1,000","17,180","390,000","26,000","364,000","3,069,180",
"2340","台亞            ","4,621,000","1,728,000","2,893,000","0","0","0","0","0","0","62,513","42,000","117,567","-75,567","181,000","42,920","138,080","2,955,513",
="00899","富蘭克林潔淨能源","1,000","0","1,000","0","0","0","0","0","0","2,878,753","20,000","0","20,000","4,524,804","1,666,051","2,858,753","2,879,753",
="059028","華航元富1A購02  ","0","0","0","0","0","0","0","0","0","2,878,000","0","0","0","2,878,000","0","2,878,000","2,878,000",
="060866","陽明中信17購01  ","0","0","0","0","0","0","0","0","0","2,715,000","0","0","0","4,625,000","1,910,000","2,715,000","2,715,000",
"3189","景碩            ","7,036,205","5,344,165","1,692,040","0","0","0","782,000","0","782,000","191,880","341,000","130,000","211,000","120,880","140,000","-19,120","2,665,920",
"1711","永光            ","3,200,000","883,000","2,317,000","0","0","0","0","0","0","148,999","1,000","1,000","0","261,049","112,050","148,999","2,465,999",
="03682P","臺股指凱基16售30","0","0","0","0","0","0","0","0","0","2,438,000","0","0","0","2,541,000","103,000","2,438,000","2,438,000",
="03326P","台灣50凱基19售01","0","0","0","0","0","0","0","0","0","2,260,000","0","0","0","2,289,000","29,000","2,260,000","2,260,000",
="058268","T50反1國泰19購01","0","0","0","0","0","0","0","0","0","2,207,000","0","0","0","2,294,000","87,000","2,207,000","2,207,000",
="00683L","期元大美元指正2 ","1,145,000","9,000","1,136,000","0","0","0","0","0","0","959,000","0","40,000","-40,000","999,000","0","999,000","2,095,000",
"2023","燁輝            ","4,096,000","2,166,000","1,930,000","0","0","0","0","0","0","161,921","32,001","11,080","20,921","316,000","175,000","141,000","2,091,921",
"6443","元晶            ","4,380,000","2,327,000","2,053,000","0","0","0","0","0","0","-26,319","6,001","6,320","-319","8,000","34,000","-26,000","2,026,681",
="042752","宇隆元大13購01  ","0","0","0","0","0","0","0","0","0","1,968,000","0","0","0","2,432,000","464,000","1,968,000","1,968,000",
="063180","長榮凱基18購22  ","0","0","0","0","0","0","0","0","0","1,954,000","0","0","0","2,016,000","62,000","1,954,000","1,954,000",
="00903","富邦元宇宙      ","6,725,500","1,254,000","5,471,500","0","0","0","0","0","0","-3,519,685","0","0","0","1,641,800","5,161,485","-3,519,685","1,951,815",
="052699","長榮航富邦16購03","0","0","0","0","0","0","0","0","0","1,924,000","0","0","0","1,924,000","0","1,924,000","1,924,000",
="00670L","富邦NASDAQ正2   ","504,000","180,000","324,000","0","0","0","0","0","0","1,566,263","0","18,000","-18,000","1,876,583","292,320","1,584,263","1,890,263",
="060824","長榮元大17購28  ","0","0","0","0","0","0","0","0","0","1,821,000","0","0","0","2,536,000","715,000","1,821,000","1,821,000",
="00898","國泰基因免疫革命","1,236,200","12,000","1,224,200","0","0","0","0","0","0","550,503","0","0","0","551,000","497","550,503","1,774,703",
"6251","定穎            ","8,022,000","6,179,000","1,843,000","0","0","0","0","0","0","-74,228","98,371","172,599","-74,228","0","0","0","1,768,772",
="057990","勝一元大16購01  ","0","0","0","0","0","0","0","0","0","1,741,000","0","0","0","2,167,000","426,000","1,741,000","1,741,000",
="044749","欣興凱基15購03  ","0","0","0","0","0","0","0","0","0","1,733,000","0","0","0","2,267,000","534,000","1,733,000","1,733,000",
="00686R","群益臺灣加權反1 ","0","0","0","0","0","0","0","0","0","1,689,000","0","0","0","2,330,000","641,000","1,689,000","1,689,000",
="039555","台勝科元大13購02","0","0","0","0","0","0","0","0","0","1,685,000","0","0","0","1,805,000","120,000","1,685,000","1,685,000",
"1709","和益            ","3,194,000","1,489,000","1,705,000","0","0","0","0","0","0","-24,241","0","1,000","-1,000","17,021","40,262","-23,241","1,680,759",
="043786","聯陽元大13購07  ","0","0","0","0","0","0","0","0","0","1,660,000","0","0","0","1,672,000","12,000","1,660,000","1,660,000",
="00895","富邦未來車      ","4,623,000","629,260","3,993,740","0","0","0","0","0","0","-2,348,754","0","0","0","2,854,000","5,202,754","-2,348,754","1,644,986",
"3209","全科            ","2,055,000","433,000","1,622,000","0","0","0","0","0","0","0","0","0","0","0","0","0","1,622,000",
