111年02月25日 三大法人日交易資訊(含普通股、鉅額、零股、綜合帳戶之投信買賣成交量)依股票代碼排序
代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"00679B","元大美債20年","37,050","402,000","-364,950","0","0","0","37,050","402,000","-364,950","0","0","0","0","0","0","24,000","240,000","-216,000","24,000","240,000","-216,000","-580,950"
"00687B","國泰20年美債","0","5,000","-5,000","0","0","0","0","5,000","-5,000","0","0","0","0","0","0","69,000","51,000","18,000","69,000","51,000","18,000","13,000"
"00694B","富邦美債1-3","52,000","0","52,000","0","0","0","52,000","0","52,000","0","0","0","0","0","0","100,000","151,000","-51,000","100,000","151,000","-51,000","1,000"
"00695B","富邦美債7-10","8,000","2,000","6,000","0","0","0","8,000","2,000","6,000","0","0","0","0","0","0","120,000","103,000","17,000","120,000","103,000","17,000","23,000"
"00696B","富邦美債20年","25,029,000","8,000","25,021,000","0","0","0","25,029,000","8,000","25,021,000","0","0","0","0","0","0","213,000","132,000","81,000","213,000","132,000","81,000","25,102,000"
"00697B","元大美債7-10","3,000","2,000","1,000","0","0","0","3,000","2,000","1,000","0","0","0","0","0","0","102,006","102,010","-4","102,006","102,010","-4","996"
"00718B","富邦中國政策債","9,000","2,000","7,000","0","0","0","9,000","2,000","7,000","0","0","0","0","0","0","166,000","128,000","38,000","166,000","128,000","38,000","45,000"
"00719B","元大美債1-3","0","18,000","-18,000","0","0","0","0","18,000","-18,000","0","0","0","18,000","0","18,000","100,028","150,000","-49,972","118,028","150,000","-31,972","-49,972"
"00720B","元大投資級公司債","1,048,000","4,000","1,044,000","0","0","0","1,048,000","4,000","1,044,000","0","0","0","0","1,050,000","-1,050,000","154,000","234,000","-80,000","154,000","1,284,000","-1,130,000","-86,000"
"00721B","元大中國債3-5","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","0","0","0","101,000","100,000","1,000","101,000","100,000","1,000","2,000"
"00722B","群益15年IG電信債","1,153,000","4,000","1,149,000","0","0","0","1,153,000","4,000","1,149,000","0","0","0","0","1,164,000","-1,164,000","112,000","113,000","-1,000","112,000","1,277,000","-1,165,000","-16,000"
"00723B","群益15年IG科技債","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","0","0","0","100,000","104,000","-4,000","100,000","104,000","-4,000","-3,000"
"00724B","群益10年IG金融債","674,000","0","674,000","0","0","0","674,000","0","674,000","0","0","0","0","668,000","-668,000","112,000","134,000","-22,000","112,000","802,000","-690,000","-16,000"
"00725B","國泰投資級公司債","1,536,000","0","1,536,000","0","0","0","1,536,000","0","1,536,000","0","0","0","0","1,500,000","-1,500,000","148,000","170,042","-22,042","148,000","1,670,042","-1,522,042","13,958"
"00726B","國泰5Y+新興債","0","7,000","-7,000","0","0","0","0","7,000","-7,000","0","0","0","0","0","0","9","3,027","-3,018","9","3,027","-3,018","-10,018"
"00727B","國泰1-5Y高收債","186,000","0","186,000","0","0","0","186,000","0","186,000","0","0","0","0","0","0","101,000","297,000","-196,000","101,000","297,000","-196,000","-10,000"
"00734B","台新JPM新興債","5,000","0","5,000","0","0","0","5,000","0","5,000","0","0","0","0","0","0","972,000","1,010,552","-38,552","972,000","1,010,552","-38,552","-33,552"
"00740B","富邦全球投等債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102,000","123,000","-21,000","102,000","123,000","-21,000","-21,000"
"00741B","富邦全球高收債","45,000","1,000","44,000","0","0","0","45,000","1,000","44,000","0","0","0","0","0","0","100,000","140,000","-40,000","100,000","140,000","-40,000","4,000"
"00744B","國泰中國政金債5+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00745B","富邦中政債0-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00746B","富邦A級公司債","500,000","0","500,000","0","0","0","500,000","0","500,000","0","0","0","0","500,000","-500,000","100,000","101,000","-1,000","100,000","601,000","-501,000","-1,000"
"00747B","FH中國政策債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,012","100,028","-16","100,012","100,028","-16","-16"
"00748B","凱基中國債3-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00749B","凱基新興債10+","30,000","0","30,000","0","0","0","30,000","0","30,000","0","0","0","0","0","0","104,000","137,000","-33,000","104,000","137,000","-33,000","-3,000"
"00750B","凱基科技債10+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00751B","元大AAA至A公司債","0","16,000","-16,000","0","0","0","0","16,000","-16,000","0","0","0","30,000","0","30,000","19,000","120,000","-101,000","49,000","120,000","-71,000","-87,000"
"00754B","群益AAA-AA公司債","24,000","13,000","11,000","0","0","0","24,000","13,000","11,000","0","0","0","0","0","0","2,000","14,000","-12,000","2,000","14,000","-12,000","-1,000"
"00755B","群益15年IG公用債","14,000","0","14,000","0","0","0","14,000","0","14,000","0","0","0","0","0","0","100,000","121,000","-21,000","100,000","121,000","-21,000","-7,000"
"00756B","群益15年EM主權債","40,000","17,000","23,000","0","0","0","40,000","17,000","23,000","0","0","0","0","0","0","104,000","214,000","-110,000","104,000","214,000","-110,000","-87,000"
"00758B","FH能源債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100,000","100,000","0","100,000","100,000","0","0"
"00759B","FH製藥債","500,000","0","500,000","0","0","0","500,000","0","500,000","0","0","0","0","500,000","-500,000","100,000","100,000","0","100,000","600,000","-500,000","0"
"00760B","FH新興企業債","0","7,000","-7,000","0","0","0","0","7,000","-7,000","0","0","0","0","0","0","105,000","100,000","5,000","105,000","100,000","5,000","-2,000"
"00761B","國泰A級公司債","1,500,000","0","1,500,000","0","0","0","1,500,000","0","1,500,000","0","0","0","0","1,500,000","-1,500,000","106,000","102,000","4,000","106,000","1,602,000","-1,496,000","4,000"
"00764B","群益25年美債","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","101,000","100,000","1,000","101,000","100,000","1,000","0"
