證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","25312461","3593629562","142.60","142.80","141.20","142.30","0.7500","27821"
"0051","元大中型100","90189","5362092","58.80","59.95","58.80","59.95","1.1500","176"
"0052","富邦科技","403718","53582268","133.80","134.55","131.90","132.70","0.2000","368"
"0053","元大電子","19553","1341624","68.60","68.90","68.20","68.60","-0.2000","59"
"0054","元大台商50","7848","239767","30.34","30.69","30.34","30.69","0.2900","41"
"0055","元大MSCI金融","2172101","55958578","25.38","25.91","25.29","25.91","0.7500","1602"
"0056","元大高股息","20463646","668494771","32.53","33.00","32.48","33.00","0.6000","15902"
"0057","富邦摩台","29865","2960556","99.10","99.25","99.10","99.20","0.3000","54"
"0061","元大寶滬深","221684","4813922","21.80","22.09","21.60","21.83","0.0100","142"
"006203","元大MSCI台灣","12622","853470","67.75","67.85","67.40","67.85","0.3000","56"
"006204","永豐臺灣加權","20891","1856683","88.75","89.20","88.50","89.20","0.9000","55"
"006205","富邦上証","1998131","71201419","35.85","36.06","35.38","35.72","-0.1300","562"
"006206","元大上證50","279722","9586639","34.50","34.58","33.99","34.50","-0.3000","158"
"006207","FH滬深","317037","9047064","28.72","28.77","28.29","28.58","-0.1200","87"
"006208","富邦台50","5998356","490200901","82.05","82.15","81.30","81.95","0.5500","8846"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2406625","337637353","140.15","141.65","138.75","141.50","3.6500","1196"
"00632R","元大台灣50反1","176336357","920231037","5.22","5.25","5.19","5.19","-0.0800","6460"
"00633L","富邦上証正2","5540718","277726295","49.22","50.90","49.22","50.20","-0.3000","1391"
"00634R","富邦上証反1","540000","2218410","4.09","4.13","4.07","4.11","0.0200","79"
"00635U","期元大S&P黃金","766491","18396684","24.09","24.10","23.98","23.99","-0.5000","323"
"00636","國泰中國A50","1604475","38642108","24.24","24.25","23.94","24.13","-0.0800","429"
"00636K","國泰中國A50+U","200","1740","8.70","8.70","8.70","8.70","-0.0400","2"
"00637L","元大滬深300正2","56351269","1118571889","19.82","20.19","19.48","19.95","-0.1000","10632"
"00638R","元大滬深300反1","2965000","25091530","8.46","8.54","8.40","8.45","0.0300","120"
"00639","富邦深100","1145171","17675764","15.71","15.88","15.31","15.39","-0.1400","421"
"00640L","富邦日本正2","361100","9861970","26.88","27.65","26.86","27.40","0.4800","125"
"00641R","富邦日本反1","253000","2651500","10.50","10.53","10.41","10.43","-0.1600","58"
"00642U","期元大S&P石油","26134477","426918425","16.23","16.44","16.21","16.33","1.2100","4633"
"00643","群益深証中小","543469","9811526","18.35","18.35","17.90","18.03","-0.0800","135"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","174626","4461955","25.15","25.79","25.15","25.72","0.5700","132"
