"111年02月25日 三大法人買賣超日報"
"證券代號" "證券名稱" "外陸資買進股數(不含外資自營商)" "外陸資賣出股數(不含外資自營商)" "外陸資買賣超股數(不含外資自營商)" "外資自營商買進股數" "外資自營商賣出股數" "外資自營商買賣超股數" "投信買進股數" "投信賣出股數" "投信買賣超股數" "自營商買賣超股數" "自營商買進股數(自行買賣)" "自營商賣出股數(自行買賣)" "自營商買賣超股數(自行買賣)" "自營商買進股數(避險)" "自營商賣出股數(避險)" "自營商買賣超股數(避險)" "三大法人買賣超股數"
="00632R" "元大台灣50反1   " "3969000" "33654000" "-29685000" "0" "0" "0" "0" "0" "0" "137569307" "2500000" "2200000" "300000" "155861000" "18591693" "137269307" "107884307"
"2027" "大成鋼          " "15154000" "6715185" "8438815" "0" "0" "0" "534000" "0" "534000" "2435429" "1670111" "928682" "741429" "1781000" "87000" "1694000" "11408244"
="050467" "長榮統一1B購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "11339000" "0" "0" "0" "11725000" "386000" "11339000" "11339000"
"2609" "陽明            " "16229146" "8244578" "7984568" "0" "0" "0" "60000" "0" "60000" "276182" "42000" "43218" "-1218" "576400" "299000" "277400" "8320750"
="00637L" "元大滬深300正2  " "4064000" "4378000" "-314000" "0" "0" "0" "0" "0" "0" "8483803" "0" "271000" "-271000" "24575581" "15820778" "8754803" "8169803"
="03788C" "T50反1元大19牛07" "0" "0" "0" "0" "0" "0" "0" "0" "0" "7399000" "0" "0" "0" "7840000" "441000" "7399000" "7399000"
"8150" "南茂            " "13475000" "2494700" "10980300" "0" "0" "0" "0" "4000000" "-4000000" "271100" "235000" "156000" "79000" "238100" "46000" "192100" "7251400"
"2371" "大同            " "8339000" "1279000" "7060000" "0" "0" "0" "0" "0" "0" "-7998" "2" "4000" "-3998" "1000" "5000" "-4000" "7052002"
="00715L" "期街口布蘭特正2 " "4800000" "6257000" "-1457000" "0" "0" "0" "0" "0" "0" "8442000" "0" "0" "0" "17674000" "9232000" "8442000" "6985000"
="00664R" "國泰臺灣加權反1 " "204000" "275000" "-71000" "0" "0" "0" "0" "0" "0" "6910917" "0" "0" "0" "8379000" "1468083" "6910917" "6839917"
="00676R" "富邦臺灣加權反1 " "0" "0" "0" "0" "0" "0" "0" "0" "0" "6620308" "0" "0" "0" "8184308" "1564000" "6620308" "6620308"
="055447" "T50反1元大19購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "6595000" "0" "0" "0" "6595000" "0" "6595000" "6595000"
="045940" "聯陽國泰15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "6060000" "0" "0" "0" "6263000" "203000" "6060000" "6060000"
="03766C" "T50反1元大15牛01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5759000" "0" "0" "0" "5959000" "200000" "5759000" "5759000"
="00830" "國泰費城半導體  " "8303500" "343100" "7960400" "0" "0" "0" "0" "0" "0" "-2505657" "0" "0" "0" "1454000" "3959657" "-2505657" "5454743"
="03030P" "臺股指元大16售06" "0" "0" "0" "0" "0" "0" "0" "0" "0" "5103000" "0" "0" "0" "6726000" "1623000" "5103000" "5103000"
="042694" "聯陽群益15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "4483000" "0" "0" "0" "4737000" "254000" "4483000" "4483000"
"1795" "美時            " "4686105" "1800010" "2886095" "0" "0" "0" "1121000" "0" "1121000" "265209" "47090" "10000" "37090" "488119" "260000" "228119" "4272304"
"2337" "旺宏            " "9896189" "6510500" "3385689" "0" "0" "0" "358000" "0" "358000" "412185" "513335" "123150" "390185" "132000" "110000" "22000" "4155874"
="063510" "富采富邦1A購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "3956000" "0" "0" "0" "4191000" "235000" "3956000" "3956000"
"3035" "智原            " "9096000" "6039480" "3056520" "0" "0" "0" "1017500" "59000" "958500" "-133038" "716562" "890000" "-173438" "40400" "0" "40400" "3881982"
"2313" "華通            " "5843000" "4078000" "1765000" "0" "0" "0" "1397000" "0" "1397000" "178943" "1083023" "1046000" "37023" "304100" "162180" "141920" "3340943"
"3037" "欣興            " "18256147" "15627770" "2628377" "0" "0" "0" "586000" "44000" "542000" "7096" "1464450" "1594998" "-130548" "301564" "163920" "137644" "3177473"
="00897" "富邦基因免疫生技" "4224000" "520000" "3704000" "0" "0" "0" "0" "0" "0" "-624372" "0" "0" "0" "1453203" "2077575" "-624372" "3079628"
="032638" "長榮統一16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "3076000" "0" "0" "0" "4700000" "1624000" "3076000" "3076000"
"2031" "新光鋼          " "3434000" "786000" "2648000" "0" "0" "0" "40000" "0" "40000" "381180" "18180" "1000" "17180" "390000" "26000" "364000" "3069180"
"2340" "台亞            " "4621000" "1728000" "2893000" "0" "0" "0" "0" "0" "0" "62513" "42000" "117567" "-75567" "181000" "42920" "138080" "2955513"
="00899" "富蘭克林潔淨能源" "1000" "0" "1000" "0" "0" "0" "0" "0" "0" "2878753" "20000" "0" "20000" "4524804" "1666051" "2858753" "2879753"
="059028" "華航元富1A購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "2878000" "0" "0" "0" "2878000" "0" "2878000" "2878000"
="060866" "陽明中信17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "2715000" "0" "0" "0" "4625000" "1910000" "2715000" "2715000"
"3189" "景碩            " "7036205" "5344165" "1692040" "0" "0" "0" "782000" "0" "782000" "191880" "341000" "130000" "211000" "120880" "140000" "-19120" "2665920"
"1711" "永光            " "3200000" "883000" "2317000" "0" "0" "0" "0" "0" "0" "148999" "1000" "1000" "0" "261049" "112050" "148999" "2465999"
="03682P" "臺股指凱基16售30" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2438000" "0" "0" "0" "2541000" "103000" "2438000" "2438000"
="03326P" "台灣50凱基19售01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2260000" "0" "0" "0" "2289000" "29000" "2260000" "2260000"
="058268" "T50反1國泰19購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "2207000" "0" "0" "0" "2294000" "87000" "2207000" "2207000"
="00683L" "期元大美元指正2 " "1145000" "9000" "1136000" "0" "0" "0" "0" "0" "0" "959000" "0" "40000" "-40000" "999000" "0" "999000" "2095000"
"2023" "燁輝            " "4096000" "2166000" "1930000" "0" "0" "0" "0" "0" "0" "161921" "32001" "11080" "20921" "316000" "175000" "141000" "2091921"
"6443" "元晶            " "4380000" "2327000" "2053000" "0" "0" "0" "0" "0" "0" "-26319" "6001" "6320" "-319" "8000" "34000" "-26000" "2026681"
="042752" "宇隆元大13購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1968000" "0" "0" "0" "2432000" "464000" "1968000" "1968000"
="063180" "長榮凱基18購22  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1954000" "0" "0" "0" "2016000" "62000" "1954000" "1954000"
="00903" "富邦元宇宙      " "6725500" "1254000" "5471500" "0" "0" "0" "0" "0" "0" "-3519685" "0" "0" "0" "1641800" "5161485" "-3519685" "1951815"
="052699" "長榮航富邦16購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1924000" "0" "0" "0" "1924000" "0" "1924000" "1924000"
="00670L" "富邦NASDAQ正2   " "504000" "180000" "324000" "0" "0" "0" "0" "0" "0" "1566263" "0" "18000" "-18000" "1876583" "292320" "1584263" "1890263"
="060824" "長榮元大17購28  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1821000" "0" "0" "0" "2536000" "715000" "1821000" "1821000"
="00898" "國泰基因免疫革命" "1236200" "12000" "1224200" "0" "0" "0" "0" "0" "0" "550503" "0" "0" "0" "551000" "497" "550503" "1774703"
"6251" "定穎            " "8022000" "6179000" "1843000" "0" "0" "0" "0" "0" "0" "-74228" "98371" "172599" "-74228" "0" "0" "0" "1768772"
="057990" "勝一元大16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1741000" "0" "0" "0" "2167000" "426000" "1741000" "1741000"
="044749" "欣興凱基15購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1733000" "0" "0" "0" "2267000" "534000" "1733000" "1733000"
="00686R" "群益臺灣加權反1 " "0" "0" "0" "0" "0" "0" "0" "0" "0" "1689000" "0" "0" "0" "2330000" "641000" "1689000" "1689000"
="039555" "台勝科元大13購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1685000" "0" "0" "0" "1805000" "120000" "1685000" "1685000"
"1709" "和益            " "3194000" "1489000" "1705000" "0" "0" "0" "0" "0" "0" "-24241" "0" "1000" "-1000" "17021" "40262" "-23241" "1680759"
